pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-611105	103	0.01	Down	1.28924935533909e-08	1.17537576423065e-06	primary	fixed_0.01
R-HSA-112315	87	0.01	Down	3.83840888882156e-05	0.000675246624931467	primary	fixed_0.01
R-HSA-112310	18	0.01	Down	0.00379102199935312	0.023753141983954	primary	fixed_0.01
R-HSA-397014	42	0.01	Down	0.0169184956583666	0.0672517933248476	primary	fixed_0.01
R-HSA-72766	285	0.01	Down	0.292986920898384	0.487557385742098	primary	fixed_0.01
R-HSA-9612973	63	0.01	Down	0.614935180162857	0.767095999623554	primary	fixed_0.01
R-HSA-9907900	39	0.01	Up	0.683652824356998	0.819516498687284	primary	fixed_0.01
R-HSA-112315	87	0.0134136299110739	Down	0.00498393891932466	0.626542587395541	primary	estimated
R-HSA-397014	42	0.011168282878297	Down	0.0466517974271247	0.626542587395541	primary	estimated
R-HSA-611105	103	0.224966267665402	Down	0.133961813413582	0.626542587395541	primary	estimated
R-HSA-112310	18	0.17800389839234	Down	0.156390372807206	0.626542587395541	primary	estimated
R-HSA-72766	285	0.00553933048033328	Down	0.237231977513747	0.669931595853609	primary	estimated
R-HSA-9612973	63	0.0438128386021464	Down	0.747521661800123	0.974709209521145	primary	estimated
R-HSA-9907900	39	0.319994075322617	Up	0.897891407098751	0.999543677069178	primary	estimated
R-HSA-611105	75	0.01	Down	1.94543126302847e-07	1.21508865670582e-05	strict_backbones	fixed_0.01
R-HSA-112315	64	0.01	Down	0.00035346055121581	0.00505062719340984	strict_backbones	fixed_0.01
R-HSA-397014	32	0.01	Down	0.0104849064900493	0.0558486447078404	strict_backbones	fixed_0.01
R-HSA-112310	13	0.01	Down	0.0141353716903975	0.0679090933657561	strict_backbones	fixed_0.01
R-HSA-72766	235	0.01	Down	0.247319439742647	0.499730750303525	strict_backbones	fixed_0.01
R-HSA-9612973	37	0.01	Down	0.330410371614555	0.588751551953535	strict_backbones	fixed_0.01
R-HSA-9907900	33	0.01	Down	0.809809802963561	0.897321507477365	strict_backbones	fixed_0.01
R-HSA-611105	120	0.01	Down	9.49921001443253e-08	4.67836093210802e-06	omit_NAA25_07	fixed_0.01
R-HSA-112315	103	0.01	Down	7.77892158132857e-06	0.000207087506962396	omit_NAA25_07	fixed_0.01
R-HSA-112310	24	0.01	Down	0.000293416264010309	0.00291934363687025	omit_NAA25_07	fixed_0.01
R-HSA-397014	47	0.01	Down	0.00213178048877846	0.0116427739684683	omit_NAA25_07	fixed_0.01
R-HSA-9907900	41	0.01	Up	0.250836701231799	0.423072175878976	omit_NAA25_07	fixed_0.01
R-HSA-72766	304	0.01	Down	0.359207457109358	0.537275529572184	omit_NAA25_07	fixed_0.01
R-HSA-9612973	76	0.01	Down	0.826698336839929	0.900654654854017	omit_NAA25_07	fixed_0.01
