gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
1-Mar	1	1	10	5	5
11-Sep	10	7	10	5	5
14-Sep	1	1	9	4	5
2-Sep	18	11	10	5	5
3-Sep	17	9	10	5	5
4-Sep	1	1	9	5	4
5-Mar	8	6	10	5	5
5-Sep	11	7	10	5	5
6-Sep	18	12	10	5	5
7-Sep	16	13	10	5	5
9-Sep	20	11	10	5	5
A2M	13	8	10	5	5
AAAS	3	3	10	5	5
AADAT	2	2	9	5	4
AAGAB	1	1	10	5	5
AAMP	1	1	10	5	5
AAR2	1	1	10	5	5
AARS	30	23	10	5	5
AARS2	11	9	10	5	5
AARSD1	4	3	10	5	5
AASDHPPT	22	13	10	5	5
AASS	6	5	10	5	5
AATF	2	1	8	3	5
ABAT	23	16	10	5	5
ABCA3	9	9	10	5	5
ABCB10	1	1	9	5	4
ABCB6	1	1	9	5	4
ABCB7	16	13	10	5	5
ABCB8	1	1	9	5	4
ABCC10	1	1	9	5	4
ABCD3	7	6	9	5	4
ABCE1	12	11	10	5	5
ABCF1	5	5	10	5	5
ABCF2	2	2	10	5	5
ABCF3	1	1	10	5	5
ABHD10	16	9	10	5	5
ABHD11	3	3	9	5	4
ABHD12	14	10	10	5	5
ABHD14A	1	1	10	5	5
ABHD16A	8	8	10	5	5
ABHD6	8	7	10	5	5
ABI1	1	1	8	3	5
ABI2	8	6	10	5	5
ABL2	1	1	9	5	4
ABLIM1	1	1	9	4	5
ABR	4	3	10	5	5
ABRACL	1	1	9	5	4
ACAA1	13	7	10	5	5
ACAA2	21	13	10	5	5
ACACA	28	25	10	5	5
ACAD10	2	2	9	5	4
ACAD8	4	4	10	5	5
ACAD9	22	17	10	5	5
ACADM	23	15	10	5	5
ACADS	2	2	10	5	5
ACADSB	14	10	10	5	5
ACADVL	31	21	10	5	5
ACAP3	1	1	9	5	4
ACAT1	24	17	10	5	5
ACAT2	17	10	10	5	5
ACBD3	9	6	10	5	5
ACBD6	3	3	10	5	5
ACIN1	5	4	10	5	5
ACLY	68	38	10	5	5
ACO1	1	1	10	5	5
ACO2	56	32	10	5	5
ACOT13	5	4	10	5	5
ACOT7	14	8	10	5	5
ACOT8	3	2	9	5	4
ACOT9	16	12	10	5	5
ACOX1	24	17	10	5	5
ACOX3	11	9	10	5	5
ACP1	3	3	10	5	5
ACP2	11	9	10	5	5
ACSF3	4	3	10	5	5
ACSL1	12	10	10	5	5
ACSL3	28	19	10	5	5
ACSL4	27	18	10	5	5
ACSL6	8	8	10	5	5
ACSS2	1	1	10	5	5
ACTBL2	3	3	10	5	5
ACTG1	43	19	10	5	5
ACTL6A	5	4	10	5	5
ACTL6B	6	4	10	5	5
ACTN1	9	9	10	5	5
ACTN3	1	1	9	5	4
ACTN4	65	43	10	5	5
ACTR10	6	5	10	5	5
ACTR1A	16	11	10	5	5
ACTR1B	4	4	10	5	5
ACTR2	10	7	10	5	5
ACTR3	18	11	10	5	5
ACTR6	1	1	9	5	4
ACTR8	2	2	10	5	5
ACYP1	5	5	10	5	5
ACYP2	1	1	10	5	5
ADA	1	1	9	5	4
ADAM10	5	4	10	5	5
ADAP1	1	1	9	5	4
ADAR	6	5	10	5	5
ADARB1	3	3	10	5	5
ADD1	6	5	9	5	4
ADD2	4	4	10	5	5
ADGRG1	2	2	10	5	5
ADGRL2	2	2	10	5	5
ADH5	19	11	10	5	5
ADK	10	7	10	5	5
ADNP	3	3	10	5	5
ADO	2	2	9	5	4
ADPGK	7	5	10	5	5
ADPRHL2	7	6	10	5	5
ADRM1	2	2	10	5	5
ADSL	8	6	9	5	4
ADSS	12	8	10	5	5
ADSSL1	1	1	9	5	4
AFDN	22	19	10	5	5
AFG3L2	31	22	10	5	5
AFP	6	3	10	5	5
AGA	3	2	10	5	5
AGAP1	1	1	9	4	5
AGAP3	3	2	9	5	4
AGFG1	4	3	10	5	5
AGK	21	13	10	5	5
AGL	23	21	10	5	5
AGO1	14	12	10	5	5
AGO2	8	6	10	5	5
AGPAT1	8	4	10	5	5
AGPAT3	4	4	10	5	5
AGPAT4	10	7	10	5	5
AGPAT5	4	3	10	5	5
AGPS	25	17	10	5	5
AGRN	4	4	10	5	5
AGTPBP1	1	1	8	4	4
AHCTF1	2	2	10	5	5
AHCY	21	14	10	5	5
AHCYL1	5	3	10	5	5
AHCYL2	1	1	10	5	5
AHSA1	8	6	10	5	5
AHSG	5	3	10	5	5
AIFM1	24	17	10	5	5
AIMP1	8	7	10	5	5
AIMP2	7	5	10	5	5
AIP	3	2	10	5	5
AK1	11	7	10	5	5
AK2	14	9	10	5	5
AK3	22	14	10	5	5
AK4	9	7	10	5	5
AKAP1	1	1	10	5	5
AKAP12	4	4	10	5	5
AKAP13	1	1	9	5	4
AKAP8L	5	3	10	5	5
AKAP9	5	5	10	5	5
AKR1A1	13	9	10	5	5
AKR1B1	15	10	10	5	5
AKR1C1	9	7	10	5	5
AKR7A2	7	6	10	5	5
AKT1	5	3	10	5	5
AKT3	1	1	10	5	5
AKTIP	1	1	9	5	4
ALAD	1	1	9	5	4
ALB	10	6	10	5	5
ALDH16A1	6	4	10	5	5
ALDH18A1	26	20	10	5	5
ALDH1A2	1	1	9	5	4
ALDH1B1	15	10	10	5	5
ALDH2	20	14	10	5	5
ALDH3A2	17	12	10	5	5
ALDH4A1	20	14	10	5	5
ALDH5A1	11	7	10	5	5
ALDH6A1	22	17	10	5	5
ALDH7A1	26	18	10	5	5
ALDH9A1	7	6	10	5	5
ALDOA	30	16	10	5	5
ALDOC	9	8	10	5	5
ALG1	8	7	10	5	5
ALG11	4	4	10	5	5
ALG12	2	2	9	5	4
ALG14	1	1	10	5	5
ALG2	9	8	10	5	5
ALG3	2	2	9	5	4
ALG5	4	4	10	5	5
ALG6	3	2	10	5	5
ALG8	3	3	9	5	4
ALG9	6	6	10	5	5
ALK	2	2	10	5	5
ALKBH7	1	1	9	5	4
ALPL	1	1	9	5	4
ALYREF	5	4	10	5	5
AMPD2	2	2	10	5	5
AMPH	7	5	10	5	5
AMT	4	3	10	5	5
ANAPC1	3	3	10	5	5
ANAPC4	1	1	9	5	4
ANAPC5	2	1	9	5	4
ANAPC7	3	3	10	5	5
ANK1	3	3	10	5	5
ANK2	38	29	10	5	5
ANKFY1	16	14	10	5	5
ANKH	1	1	9	5	4
ANKMY2	4	4	10	5	5
ANKRD17	3	3	10	5	5
ANKRD28	1	1	8	4	4
ANKS1B	2	1	10	5	5
ANO10	1	1	8	5	3
ANO8	3	3	9	5	4
ANP32A	14	11	10	5	5
ANP32B	4	3	10	5	5
ANP32E	6	4	10	5	5
ANXA1	6	5	10	5	5
ANXA2	23	17	10	5	5
ANXA5	33	20	10	5	5
ANXA6	38	27	10	5	5
ANXA7	13	10	10	5	5
AP1B1	39	29	10	5	5
AP1G1	30	21	10	5	5
AP1M1	24	17	10	5	5
AP1S1	5	4	9	5	4
AP1S2	1	1	10	5	5
AP2A1	18	16	10	5	5
AP2A2	40	26	10	5	5
AP2B1	27	18	10	5	5
AP2M1	20	13	10	5	5
AP2S1	5	4	9	5	4
AP3B2	16	13	10	5	5
AP3D1	16	15	10	5	5
AP3M1	5	5	10	5	5
AP3S1	2	2	10	5	5
AP4E1	1	1	9	5	4
AP5Z1	1	1	9	5	4
APC	1	1	9	5	4
APEH	7	7	10	5	5
APEX1	12	9	10	5	5
APH1A	1	1	9	5	4
APH1B	1	1	9	5	4
API5	19	16	10	5	5
APLP1	9	7	10	5	5
APLP2	2	2	10	5	5
APMAP	19	14	10	5	5
APOA1	2	1	10	5	5
APOB	2	2	10	5	5
APOC3	1	1	9	5	4
APOH	2	1	10	5	5
APOM	1	1	10	5	5
APOO	6	6	10	5	5
APOOL	8	6	10	5	5
APP	18	12	10	5	5
APPL1	2	1	9	5	4
APRT	2	2	9	5	4
AQR	10	9	10	5	5
ARCN1	11	9	10	5	5
ARF1	18	10	10	5	5
ARF4	10	6	9	5	4
ARF5	5	4	10	5	5
ARF6	4	3	10	5	5
ARFGAP1	1	1	9	5	4
ARFGAP2	1	1	9	5	4
ARFGAP3	1	1	9	5	4
ARFGEF1	10	9	10	5	5
ARFRP1	1	1	10	5	5
ARG1	1	1	10	5	5
ARG2	9	8	10	5	5
ARGLU1	1	1	9	5	4
ARHGAP1	9	8	10	5	5
ARHGAP12	2	2	9	5	4
ARHGAP21	1	1	9	5	4
ARHGAP35	14	12	10	5	5
ARHGAP5	1	1	9	5	4
ARHGDIA	3	3	10	5	5
ARHGEF11	2	2	10	5	5
ARHGEF12	1	1	10	5	5
ARHGEF2	4	4	10	5	5
ARHGEF7	5	5	9	5	4
ARID1A	6	5	10	5	5
ARID1B	2	2	9	5	4
ARID2	2	2	10	5	5
ARID3A	3	2	10	5	5
ARID3B	7	5	10	5	5
ARIH1	1	1	9	5	4
ARIH2	4	4	9	5	4
ARL1	9	6	10	5	5
ARL10	2	1	9	5	4
ARL15	2	2	10	5	5
ARL2	6	5	10	5	5
ARL2BP	2	1	9	5	4
ARL3	6	5	10	5	5
ARL6	2	2	9	5	4
ARL6IP1	1	1	9	5	4
ARL6IP5	7	4	10	5	5
ARL8A	7	4	10	5	5
ARL8B	19	8	10	5	5
ARMC1	2	2	9	5	4
ARMC10	3	3	9	5	4
ARMC8	1	1	9	5	4
ARMCX1	2	2	10	5	5
ARMCX3	6	6	10	5	5
ARMT1	4	3	10	5	5
ARPC1A	21	12	10	5	5
ARPC2	22	15	10	5	5
ARPC3	11	7	10	5	5
ARPC4	7	5	10	5	5
ARPC5	13	8	10	5	5
ARPC5L	4	3	10	5	5
ARRB1	5	5	10	5	5
ARRB2	6	5	10	5	5
ARSA	3	2	9	5	4
ARSB	11	9	10	5	5
ARSK	2	2	10	5	5
ARVCF	6	5	10	5	5
ASAH1	26	16	10	5	5
ASAP1	2	2	10	5	5
ASAP2	1	1	9	5	4
ASB1	1	1	9	5	4
ASCC3	3	3	10	5	5
ASH2L	5	4	10	5	5
ASIC1	1	1	9	5	4
ASIC4	1	1	9	5	4
ASMTL	3	3	10	5	5
ASNA1	11	8	10	5	5
ASNS	5	5	10	5	5
ASPH	3	3	10	5	5
ASRGL1	6	6	10	5	5
ASS1	13	9	10	5	5
ASTN1	4	3	10	5	5
ASTN2	1	1	9	5	4
ATAD1	8	5	10	5	5
ATAD2B	1	1	9	4	5
ATAD3A	25	19	10	5	5
ATAT1	5	4	10	5	5
ATCAY	3	3	9	5	4
ATE1	2	2	10	5	5
ATF2	1	1	9	5	4
ATG2B	2	2	9	5	4
ATG4B	2	2	9	5	4
ATG7	2	2	10	5	5
ATG9A	3	3	9	5	4
ATIC	23	18	10	5	5
ATL1	24	17	10	5	5
ATL2	9	6	10	5	5
ATL3	2	2	9	5	4
ATM	8	8	10	5	5
ATMIN	1	1	10	5	5
ATOX1	2	1	10	5	5
ATP11A	2	2	10	5	5
ATP11C	5	5	10	5	5
ATP13A1	16	15	10	5	5
ATP13A2	5	4	10	5	5
ATP1A1	16	14	10	5	5
ATP1A2	3	3	10	5	5
ATP1A3	47	31	10	5	5
ATP1B1	12	10	10	5	5
ATP1B2	6	5	10	5	5
ATP1B3	13	10	10	5	5
ATP2A2	49	30	10	5	5
ATP2B1	20	16	10	5	5
ATP2C1	11	8	10	5	5
ATP5A1	57	32	10	5	5
ATP5B	60	26	10	5	5
ATP5C1	18	12	10	5	5
ATP5D	2	2	10	5	5
ATP5F1	22	11	10	5	5
ATP5H	20	11	10	5	5
ATP5I	3	2	10	5	5
ATP5J	5	4	10	5	5
ATP5J2	6	3	10	5	5
ATP5L	8	5	10	5	5
ATP5O	18	9	10	5	5
ATP5S	6	6	10	5	5
ATP6AP1	7	6	10	5	5
ATP6AP2	11	9	10	5	5
ATP6V0A1	28	17	10	5	5
ATP6V0A2	5	4	9	5	4
ATP6V0C	4	3	9	5	4
ATP6V0D1	15	10	10	5	5
ATP6V1A	38	23	10	5	5
ATP6V1B2	19	14	10	5	5
ATP6V1C1	18	14	10	5	5
ATP6V1D	8	7	10	5	5
ATP6V1E1	18	13	10	5	5
ATP6V1F	5	3	10	5	5
