gene	pooled_abundance	backbones	abundance_rank	backbone_rank
1-Mar	15.5379344441	1	0.0926958052215	0.0513347022587
11-Sep	18.5499698006	7	0.850102669405	0.646377236726
2-Sep	17.693456728	11	0.645643883837	0.812848342622
3-Sep	18.299030374	9	0.801994719859	0.747433264887
5-Mar	16.5213326306	6	0.26870049868	0.580228806101
5-Sep	17.0761780019	7	0.441771780581	0.646377236726
6-Sep	18.0609380545	12	0.749193311822	0.838222352596
7-Sep	17.8637894411	13	0.694925198005	0.859782927545
9-Sep	17.553487188	11	0.597242593136	0.812848342622
A2M	17.8885840353	8	0.701672044588	0.702552068055
AAAS	17.1276454	3	0.460252273394	0.294074508654
AAGAB	17.8993916943	1	0.70636550308	0.0513347022587
AAMP	16.2749631392	1	0.213552361396	0.0513347022587
AAR2	15.4734534343	1	0.0865356409504	0.0513347022587
AARS	17.8847440885	23	0.700498679965	0.962158990906
AARS2	16.2589243916	9	0.209445585216	0.747433264887
AARSD1	17.4812059025	3	0.569081842182	0.294074508654
AASDHPPT	17.2606317791	13	0.495453212086	0.859782927545
AASS	15.3424953097	5	0.0695218539161	0.505426811382
ABAT	18.0648542426	16	0.750953358756	0.905690818422
ABCA3	16.7555470512	9	0.332062188325	0.747433264887
ABCB7	17.2864644142	13	0.506013493693	0.859782927545
ABCE1	16.9024621811	11	0.378703432092	0.812848342622
ABCF1	15.2682649947	5	0.0645350542681	0.505426811382
ABCF2	16.4140143577	2	0.244353182752	0.168817835142
ABCF3	17.2933336472	1	0.508653564095	0.0513347022587
ABHD10	18.4243651096	9	0.824288647697	0.747433264887
ABHD12	17.1182704468	10	0.456732179525	0.783660897624
ABHD14A	15.1953688446	1	0.0580815488413	0.0513347022587
ABHD16A	18.0880548705	8	0.757700205339	0.702552068055
ABHD6	16.7772097112	7	0.339395717219	0.646377236726
ABI2	17.8497660165	6	0.690231739513	0.580228806101
ABR	16.2794840852	3	0.214432384864	0.294074508654
ACAA1	17.0219950046	7	0.422997946612	0.646377236726
ACAA2	17.9553476686	13	0.720445878557	0.859782927545
ACACA	16.7988046131	25	0.344675858023	0.968759166911
ACAD8	16.8381990482	4	0.355822821942	0.408917571135
ACAD9	17.5815033543	17	0.60662951012	0.917131123497
ACADM	18.4338811411	15	0.826048694632	0.894103842769
ACADS	16.199448427	2	0.198885303608	0.168817835142
ACADSB	18.3718532559	10	0.81578175418	0.783660897624
ACADVL	17.8527625582	21	0.691698445292	0.951158697565
ACAT1	18.211913859	17	0.787034320915	0.917131123497
