pathway	run	score
R-HSA-112315	NTC_01	0.120669694555
R-HSA-112315	NTC_02	0.102618968673
R-HSA-112315	NTC_03	0.0947644541789
R-HSA-112315	NTC_04	0.14318365343
R-HSA-112315	NTC_05	0.00789399430656
R-HSA-112315	NAA25_06	-0.132711931395
R-HSA-112315	NAA25_07	-0.182939961732
R-HSA-112315	NAA25_08	-0.274542707458
R-HSA-112315	NAA25_09	-0.194005856979
R-HSA-112315	NAA25_10	-0.271159891549
R-HSA-112310	NTC_01	0.127885808142
R-HSA-112310	NTC_02	0.171952319643
R-HSA-112310	NTC_03	0.217573286441
R-HSA-112310	NTC_04	0.194246675888
R-HSA-112310	NTC_05	-0.0168476775121
R-HSA-112310	NAA25_06	-0.105284457205
R-HSA-112310	NAA25_07	-0.0266440880556
R-HSA-112310	NAA25_08	-0.514418165746
R-HSA-112310	NAA25_09	-0.167088185104
R-HSA-112310	NAA25_10	-0.3446508252
R-HSA-9907900	NTC_01	-0.175240218974
R-HSA-9907900	NTC_02	0.0673831753637
R-HSA-9907900	NTC_03	-0.125828603895
R-HSA-9907900	NTC_04	-0.0679478433609
R-HSA-9907900	NTC_05	0.126168516806
R-HSA-9907900	NAA25_06	-0.182497338713
R-HSA-9907900	NAA25_07	-0.228412280759
R-HSA-9907900	NAA25_08	0.298709885929
R-HSA-9907900	NAA25_09	-0.0360455206732
R-HSA-9907900	NAA25_10	0.0628682032658
R-HSA-611105	NTC_01	0.169438196947
R-HSA-611105	NTC_02	0.114748063485
R-HSA-611105	NTC_03	0.36759167717
R-HSA-611105	NTC_04	0.306722005336
R-HSA-611105	NTC_05	-0.0299014078791
R-HSA-611105	NAA25_06	0.000355525886211
R-HSA-611105	NAA25_07	-0.523364813983
R-HSA-611105	NAA25_08	-0.61767060974
R-HSA-611105	NAA25_09	-0.169915155084
R-HSA-611105	NAA25_10	-0.154595611481
R-HSA-72766	NTC_01	0.0527442708232
R-HSA-72766	NTC_02	-0.0206461698282
R-HSA-72766	NTC_03	0.0768927395162
R-HSA-72766	NTC_04	0.0237997412631
R-HSA-72766	NTC_05	-0.00357255266553
R-HSA-72766	NAA25_06	-0.0508031885749
R-HSA-72766	NAA25_07	-0.081767478133
R-HSA-72766	NAA25_08	-0.0903751500676
R-HSA-72766	NAA25_09	-0.0384868861763
R-HSA-72766	NAA25_10	-0.0234410164762
R-HSA-9612973	NTC_01	-0.0136693247788
R-HSA-9612973	NTC_02	-0.031899404224
R-HSA-9612973	NTC_03	-0.0613875630909
R-HSA-9612973	NTC_04	0.000725942441211
R-HSA-9612973	NTC_05	0.0365629579188
R-HSA-9612973	NAA25_06	-0.13686631364
R-HSA-9612973	NAA25_07	-0.0845639178766
R-HSA-9612973	NAA25_08	0.188375751059
R-HSA-9612973	NAA25_09	-0.10439581546
R-HSA-9612973	NAA25_10	-0.0476147589238
R-HSA-397014	NTC_01	0.157402029366
R-HSA-397014	NTC_02	0.13223113249
R-HSA-397014	NTC_03	0.120209290259
R-HSA-397014	NTC_04	0.184973288891
R-HSA-397014	NTC_05	0.0310636826237
R-HSA-397014	NAA25_06	-0.160660009239
R-HSA-397014	NAA25_07	-0.0368670925832
R-HSA-397014	NAA25_08	-0.3470954238
R-HSA-397014	NAA25_09	-0.224833890107
R-HSA-397014	NAA25_10	-0.248794660891
