pathway	gene
R-HSA-112315	ABAT
R-HSA-112315	ALDH2
R-HSA-112315	ALDH5A1
R-HSA-112315	AP2A1
R-HSA-112315	AP2A2
R-HSA-112315	AP2B1
R-HSA-112315	AP2M1
R-HSA-112315	ARL6IP5
R-HSA-112315	CACNA2D1
R-HSA-112315	CACNA2D2
R-HSA-112315	CACNB1
R-HSA-112315	CACNB3
R-HSA-112315	CAMK2B
R-HSA-112315	CAMK2D
R-HSA-112315	CAMK2G
R-HSA-112315	CASK
R-HSA-112315	CHRNA3
R-HSA-112315	DLG1
R-HSA-112315	DLG3
R-HSA-112315	DLG4
R-HSA-112315	DNAJC5
R-HSA-112315	EPB41L1
R-HSA-112315	GABBR1
R-HSA-112315	GABBR2
R-HSA-112315	GABRA3
R-HSA-112315	GABRB3
R-HSA-112315	GIT1
R-HSA-112315	GLS
R-HSA-112315	GLUL
R-HSA-112315	GNAI1
R-HSA-112315	GNAI2
R-HSA-112315	GNAI3
R-HSA-112315	GNB1
R-HSA-112315	GNB2
R-HSA-112315	GNG2
R-HSA-112315	GRIA2
R-HSA-112315	GRIA4
R-HSA-112315	GRIP1
R-HSA-112315	HRAS
R-HSA-112315	HSPA8
R-HSA-112315	KPNA2
R-HSA-112315	KRAS
R-HSA-112315	LIN7A
R-HSA-112315	LIN7C
R-HSA-112315	MAPK1
R-HSA-112315	MAPK3
R-HSA-112315	MAPT
R-HSA-112315	MYO6
R-HSA-112315	NAAA
R-HSA-112315	NBEA
R-HSA-112315	NCALD
R-HSA-112315	NEFL
R-HSA-112315	NPTN
R-HSA-112315	NSF
R-HSA-112315	PICK1
R-HSA-112315	PLCB1
R-HSA-112315	PPM1E
R-HSA-112315	PRKACA
R-HSA-112315	PRKACB
R-HSA-112315	PRKAG1
R-HSA-112315	PRKAR1A
R-HSA-112315	PRKAR2A
R-HSA-112315	PRKAR2B
R-HSA-112315	PRKCA
R-HSA-112315	PRKCB
R-HSA-112315	PRKCG
R-HSA-112315	RAB3A
R-HSA-112315	RAC1
R-HSA-112315	SNAP25
R-HSA-112315	SRC
R-HSA-112315	STX1A
R-HSA-112315	STXBP1
R-HSA-112315	SYN1
R-HSA-112315	SYT1
R-HSA-112315	TSPAN7
R-HSA-112315	TUBA1A
R-HSA-112315	TUBA4A
R-HSA-112315	TUBAL3
R-HSA-112315	TUBB1
R-HSA-112315	TUBB2A
R-HSA-112315	TUBB2B
R-HSA-112315	TUBB3
R-HSA-112315	TUBB4A
R-HSA-112315	TUBB4B
R-HSA-112315	TUBB6
R-HSA-112315	UNC13B
R-HSA-112315	VAMP2
R-HSA-112310	ABAT
R-HSA-112310	ALDH5A1
R-HSA-112310	ARL6IP5
R-HSA-112310	CASK
R-HSA-112310	DNAJC5
R-HSA-112310	GLS
R-HSA-112310	HSPA8
R-HSA-112310	LIN7A
R-HSA-112310	LIN7C
R-HSA-112310	NAAA
R-HSA-112310	RAB3A
R-HSA-112310	SNAP25
R-HSA-112310	STX1A
R-HSA-112310	STXBP1
R-HSA-112310	SYN1
R-HSA-112310	SYT1
R-HSA-112310	UNC13B
R-HSA-112310	VAMP2
R-HSA-9907900	ADRM1
R-HSA-9907900	PSMA1
R-HSA-9907900	PSMA2
R-HSA-9907900	PSMA3
R-HSA-9907900	PSMA4
R-HSA-9907900	PSMA5
R-HSA-9907900	PSMA6
R-HSA-9907900	PSMA7
R-HSA-9907900	PSMB1
R-HSA-9907900	PSMB2
R-HSA-9907900	PSMB3
R-HSA-9907900	PSMB4
R-HSA-9907900	PSMB5
R-HSA-9907900	PSMB6
R-HSA-9907900	PSMB7
R-HSA-9907900	PSMC1
R-HSA-9907900	PSMC2
R-HSA-9907900	PSMC3
R-HSA-9907900	PSMC4
R-HSA-9907900	PSMC5
R-HSA-9907900	PSMC6
R-HSA-9907900	PSMD1
R-HSA-9907900	PSMD10
R-HSA-9907900	PSMD11
R-HSA-9907900	PSMD12
R-HSA-9907900	PSMD13
R-HSA-9907900	PSMD14
R-HSA-9907900	PSMD2
R-HSA-9907900	PSMD3
R-HSA-9907900	PSMD4
R-HSA-9907900	PSMD5
R-HSA-9907900	PSMD6
R-HSA-9907900	PSMD7
R-HSA-9907900	PSMD8
R-HSA-9907900	PSME1
R-HSA-9907900	PSME2
R-HSA-9907900	PSME3
R-HSA-9907900	PSME4
R-HSA-9907900	PSMF1
R-HSA-611105	ACAD9
R-HSA-611105	BCS1L
R-HSA-611105	CMC1
R-HSA-611105	COA1
R-HSA-611105	COA3
R-HSA-611105	COX17
R-HSA-611105	COX18
R-HSA-611105	COX4I1
R-HSA-611105	COX5A
R-HSA-611105	COX5B
R-HSA-611105	COX6A1
R-HSA-611105	COX6B1
R-HSA-611105	COX6C
R-HSA-611105	COX7A2
R-HSA-611105	COX7A2L
R-HSA-611105	COX7B
R-HSA-611105	COX7C
R-HSA-611105	CYC1
R-HSA-611105	CYCS
R-HSA-611105	ECSIT
R-HSA-611105	ETFA
R-HSA-611105	ETFB
R-HSA-611105	ETFDH
R-HSA-611105	FOXRED1
R-HSA-611105	FXN
R-HSA-611105	GOT1
R-HSA-611105	GOT2
R-HSA-611105	HCCS
R-HSA-611105	HSPA9
R-HSA-611105	LETM1
R-HSA-611105	LYRM2
R-HSA-611105	LYRM7
R-HSA-611105	MDH1
R-HSA-611105	MDH2
R-HSA-611105	MT-CO2
R-HSA-611105	MT-CO3
R-HSA-611105	MT-CYB
R-HSA-611105	MT-ND1
R-HSA-611105	MT-ND4
R-HSA-611105	MT-ND5
R-HSA-611105	NDUFA10
R-HSA-611105	NDUFA11
R-HSA-611105	NDUFA12
R-HSA-611105	NDUFA13
R-HSA-611105	NDUFA2
R-HSA-611105	NDUFA5
R-HSA-611105	NDUFA6
R-HSA-611105	NDUFA7
R-HSA-611105	NDUFA8
R-HSA-611105	NDUFA9
R-HSA-611105	NDUFAB1
R-HSA-611105	NDUFAF2
R-HSA-611105	NDUFAF3
R-HSA-611105	NDUFAF4
R-HSA-611105	NDUFB1
R-HSA-611105	NDUFB10
R-HSA-611105	NDUFB11
R-HSA-611105	NDUFB3
R-HSA-611105	NDUFB4
R-HSA-611105	NDUFB5
R-HSA-611105	NDUFB6
R-HSA-611105	NDUFB7
R-HSA-611105	NDUFB8
R-HSA-611105	NDUFB9
R-HSA-611105	NDUFC2
R-HSA-611105	NDUFS1
R-HSA-611105	NDUFS2
R-HSA-611105	NDUFS3
R-HSA-611105	NDUFS4
R-HSA-611105	NDUFS5
R-HSA-611105	NDUFS6
R-HSA-611105	NDUFS7
R-HSA-611105	NDUFS8
R-HSA-611105	NDUFV1
R-HSA-611105	NDUFV2
R-HSA-611105	NDUFV3
R-HSA-611105	NFS1
R-HSA-611105	NUBPL
R-HSA-611105	OXA1L
R-HSA-611105	PET100
R-HSA-611105	PNKD
R-HSA-611105	SCO1
R-HSA-611105	SDHA
R-HSA-611105	SDHB
R-HSA-611105	SLC25A11
R-HSA-611105	SLC25A12
R-HSA-611105	SLC25A13
R-HSA-611105	SLC25A22
R-HSA-611105	SURF1
R-HSA-611105	TIMM21
R-HSA-611105	TMEM126A
R-HSA-611105	TMEM126B
R-HSA-611105	TRAP1
R-HSA-611105	TTC19
R-HSA-611105	UQCC1
R-HSA-611105	UQCC2
R-HSA-611105	UQCR10
R-HSA-611105	UQCR11
R-HSA-611105	UQCRB
R-HSA-611105	UQCRC1
R-HSA-611105	UQCRC2
R-HSA-611105	UQCRFS1
R-HSA-611105	UQCRQ
R-HSA-72766	AARS2
R-HSA-72766	ABCE1
R-HSA-72766	ADRM1
R-HSA-72766	AIMP1
R-HSA-72766	AIMP2
R-HSA-72766	APEH
R-HSA-72766	ASCC3
R-HSA-72766	AURKAIP1
R-HSA-72766	CHCHD1
R-HSA-72766	CUL2
R-HSA-72766	DAP3
R-HSA-72766	DARS2
R-HSA-72766	EEF1A1
R-HSA-72766	EEF1A2
R-HSA-72766	EEF1B2
R-HSA-72766	EEF1D
R-HSA-72766	EEF1E1
R-HSA-72766	EEF1G
R-HSA-72766	EEF2
R-HSA-72766	EIF2B3
R-HSA-72766	EIF2S1
R-HSA-72766	EIF2S2
R-HSA-72766	EIF2S3
R-HSA-72766	EIF3A
R-HSA-72766	EIF3B
R-HSA-72766	EIF3C
R-HSA-72766	EIF3D
R-HSA-72766	EIF3E
R-HSA-72766	EIF3F
R-HSA-72766	EIF3G
R-HSA-72766	EIF3H
R-HSA-72766	EIF3I
R-HSA-72766	EIF3J
R-HSA-72766	EIF3L
R-HSA-72766	EIF3M
R-HSA-72766	EIF4A1
R-HSA-72766	EIF4A2
R-HSA-72766	EIF4B
R-HSA-72766	EIF4E
R-HSA-72766	EIF4G1
R-HSA-72766	EIF4H
R-HSA-72766	EIF5
R-HSA-72766	EIF5B
R-HSA-72766	ELOB
R-HSA-72766	ELOC
R-HSA-72766	ETF1
R-HSA-72766	FARSA
R-HSA-72766	FARSB
R-HSA-72766	FAU
R-HSA-72766	GADD45GIP1
R-HSA-72766	GFM1
R-HSA-72766	GFM2
R-HSA-72766	GSPT1
R-HSA-72766	GSPT2
R-HSA-72766	HARS2
R-HSA-72766	HBS1L
R-HSA-72766	IARS2
R-HSA-72766	LARS2
R-HSA-72766	LTN1
R-HSA-72766	MARS2
R-HSA-72766	MIEF1
R-HSA-72766	MRPL1
R-HSA-72766	MRPL11
R-HSA-72766	MRPL12
R-HSA-72766	MRPL13
R-HSA-72766	MRPL14
R-HSA-72766	MRPL15
R-HSA-72766	MRPL16
R-HSA-72766	MRPL17
R-HSA-72766	MRPL18
R-HSA-72766	MRPL19
R-HSA-72766	MRPL2
R-HSA-72766	MRPL20
R-HSA-72766	MRPL21
R-HSA-72766	MRPL22
R-HSA-72766	MRPL23
R-HSA-72766	MRPL24
R-HSA-72766	MRPL27
R-HSA-72766	MRPL28
R-HSA-72766	MRPL3
R-HSA-72766	MRPL30
R-HSA-72766	MRPL33
R-HSA-72766	MRPL34
R-HSA-72766	MRPL35
R-HSA-72766	MRPL37
R-HSA-72766	MRPL38
R-HSA-72766	MRPL39
R-HSA-72766	MRPL4
R-HSA-72766	MRPL40
R-HSA-72766	MRPL41
R-HSA-72766	MRPL42
R-HSA-72766	MRPL43
R-HSA-72766	MRPL44
R-HSA-72766	MRPL45
R-HSA-72766	MRPL46
R-HSA-72766	MRPL47
R-HSA-72766	MRPL48
R-HSA-72766	MRPL49
R-HSA-72766	MRPL50
R-HSA-72766	MRPL51
R-HSA-72766	MRPL52
R-HSA-72766	MRPL53
R-HSA-72766	MRPL54
R-HSA-72766	MRPL55
R-HSA-72766	MRPL57
R-HSA-72766	MRPL9
R-HSA-72766	MRPS10
R-HSA-72766	MRPS11
