pathway	gene	control	distance
R-HSA-112315	ABAT	SCARB2	8.60490336651e-08
R-HSA-112315	ABAT	MOGS	0.000132257364743
R-HSA-112315	ABAT	PSMD12	0.000147746190803
R-HSA-112315	ABAT	ATP13A1	0.000156286557394
R-HSA-112315	ABAT	CARS	0.000329137553769
R-HSA-112315	ALDH2	CYB5R3	1.37678453864e-06
R-HSA-112315	ALDH2	CFL1	4.21640264959e-06
R-HSA-112315	ALDH2	NDUFV1	3.10637011531e-05
R-HSA-112315	ALDH2	DLD	5.37806460407e-05
R-HSA-112315	ALDH2	AHCY	0.000241711735565
R-HSA-112315	ALDH5A1	SUB1	3.10637011531e-05
R-HSA-112315	ALDH5A1	APEH	3.79476238463e-05
R-HSA-112315	ALDH5A1	VANGL2	6.74624423934e-05
R-HSA-112315	ALDH5A1	SEC11C	0.00011151954763
R-HSA-112315	ALDH5A1	RPL31	0.000137678453864
R-HSA-112315	AP2A1	KARS	3.4419613466e-07
R-HSA-112315	AP2A1	RUVBL2	7.74441302986e-07
R-HSA-112315	AP2A1	GARS	8.6049033665e-06
R-HSA-112315	AP2A1	SARS	0.000136409230618
R-HSA-112315	AP2A1	TRIM28	0.000137678453864
R-HSA-112315	AP2A2	NCKAP1	4.64879904375e-05
R-HSA-112315	AP2A2	NEFM	0.000488070118948
R-HSA-112315	AP2A2	XPO1	0.000627921310912
R-HSA-112315	AP2A2	CPT2	0.000752004017457
R-HSA-112315	AP2A2	PARP1	0.000843452627985
R-HSA-112315	AP2B1	PSMD11	9.92145358158e-05
R-HSA-112315	AP2B1	DPYSL4	0.000102312301028
R-HSA-112315	AP2B1	MAP4K4	0.000130299749227
R-HSA-112315	AP2B1	DHX15	0.000143271641052
R-HSA-112315	AP2B1	ATP6V0A1	0.000165149607862
R-HSA-112315	AP2M1	H2AFY2	4.55199388088e-05
R-HSA-112315	AP2M1	DCLK1	6.27297455418e-05
R-HSA-112315	AP2M1	TIMM44	0.000159104663247
R-HSA-112315	AP2M1	KRT14	0.000166590929176
R-HSA-112315	AP2M1	DDX6	0.000215122584163
R-HSA-112315	ARL6IP5	HDLBP	3.4419613466e-07
R-HSA-112315	ARL6IP5	HIP1	7.74441302985e-07
R-HSA-112315	ARL6IP5	EIF2B3	4.21640264959e-06
R-HSA-112315	ARL6IP5	PLOD3	6.96997172687e-06
R-HSA-112315	ARL6IP5	ETFDH	6.96997172687e-06
R-HSA-112315	CACNA2D1	NDUFS1	0.000114380677999
R-HSA-112315	CACNA2D1	LMNB2	0.000150865468273
R-HSA-112315	CACNA2D1	CCT2	0.000223835048821
R-HSA-112315	CACNA2D1	CKAP4	0.000261933258476
R-HSA-112315	CACNA2D1	ACO2	0.000323888562715
R-HSA-112315	CACNA2D2	PNPLA8	8.8114210473e-05
R-HSA-112315	CACNA2D2	NME2	0.00020660372983
R-HSA-112315	CACNA2D2	FNBP1L	0.000273377779954
R-HSA-112315	CACNA2D2	OGT	0.00034161466365
R-HSA-112315	CACNA2D2	PDCD11	0.00037517378678
R-HSA-112315	CACNB1	EBF2	1.68656105984e-05
R-HSA-112315	CACNB1	AAGAB	6.74624423934e-05
R-HSA-112315	CACNB1	RPL3L	8.26931213521e-05
R-HSA-112315	CACNB1	XRCC4	9.37073976612e-05
R-HSA-112315	CACNB1	LZIC	0.000182079755235
R-HSA-112315	CACNB3	TIPRL	7.74441302985e-07
R-HSA-112315	CACNB3	EEF1B2	1.37678453864e-06
R-HSA-112315	CACNB3	PSMB4	2.15122584163e-06
R-HSA-112315	CACNB3	SRM	6.96997172687e-06
R-HSA-112315	CACNB3	EIF4B	1.04119330735e-05
R-HSA-112315	CAMK2B	RPS11	3.4419613466e-07
R-HSA-112315	CAMK2B	3-Sep	2.15122584163e-06
R-HSA-112315	CAMK2B	NDUFA6	1.04119330735e-05
R-HSA-112315	CAMK2B	HNRNPM	3.4419613466e-05
R-HSA-112315	CAMK2B	YWHAG	4.16477322939e-05
R-HSA-112315	CAMK2D	METAP2	4.21640264959e-06
R-HSA-112315	CAMK2D	PAK2	4.21640264959e-06
R-HSA-112315	CAMK2D	PPAT	1.23910608478e-05
R-HSA-112315	CAMK2D	MTHFD2	2.20285526183e-05
R-HSA-112315	CAMK2D	ACTR10	2.48681707292e-05
R-HSA-112315	CAMK2G	COX5B	3.4419613466e-07
R-HSA-112315	CAMK2G	NUDT16	4.21640264959e-06
R-HSA-112315	CAMK2G	PRPF38A	8.60490336651e-06
R-HSA-112315	CAMK2G	OCIAD2	7.74441302985e-05
R-HSA-112315	CAMK2G	EXOC3	9.94726829168e-05
R-HSA-112315	CASK	EIF2S1	0.000299536686188
R-HSA-112315	CASK	6-Sep	0.000374829590645
R-HSA-112315	CASK	TMEM43	0.000469074794767
R-HSA-112315	CASK	SUCLA2	0.000479400678806
R-HSA-112315	CASK	SERPINH1	0.000523027538875
R-HSA-112315	CHRNA3	MORF4L1	3.09776521194e-06
R-HSA-112315	CHRNA3	FDXR	1.04119330735e-05
R-HSA-112315	CHRNA3	NXF1	1.45422866894e-05
R-HSA-112315	CHRNA3	B4GAT1	3.4419613466e-05
R-HSA-112315	CHRNA3	SLC25A44	6.27297455418e-05
R-HSA-112315	DLG1	COX7C	1.37678453864e-06
R-HSA-112315	DLG1	SDCBP	2.78798869075e-05
R-HSA-112315	DLG1	BRD3	3.10637011531e-05
