mouse	paired_difference
mouse10	-0.0480793532207
mouse11	-0.0059120786455
mouse12	0.0130825931752
mouse13	0.00500228312348
mouse15	0.00736448457408
mouse16	0.00130274761118
mouse17	-0.00896002609888
mouse18	-0.0101885496935
mouse19	-0.0151034956521
mouse20	-0.00228461917208
mouse21	-0.0159633208308
mouse22	-0.0265476984454
mouse23	-0.00271805039143
mouse24	0.0136470699732
mouse25	0.0339906940108
mouse26	0.000957882338274
mouse31	-0.0534292006495
mouse35	-0.00126351192872
mouse38	-0.0227731180133
mouse4	-0.0259201824032
mouse41	-0.00199538844522
mouse44	-0.0670103466765
mouse45	-0.00253352451333
mouse52	-0.00542915128124
mouse54	-0.00438738206773
mouse55	-0.010800015629
mouse60	-0.0274135573204
mouse62	-0.0116012121037
mouse63	-0.0113761867674
mouse67	-0.0278166250661
mouse68	-0.0173403782676
mouse69	-0.0051379540137
mouse7	-0.0251484829197
mouse70	-0.00077295997318
mouse72	-0.00189840173315
mouse73	-0.0232963605445
mouse74	-0.0481241807519
mouse75	0.00492172002041
mouse76	-0.0153014484514
mouse8	-0.0178556108354
mouse9	-0.00758188147485
