mouse	paired_difference
mouse11	-0.0593158992085
mouse19	-0.0424234388943
mouse20	-0.0445483992614
mouse23	-0.0638759165772
mouse31	-0.021000044161
mouse34	-0.00950499075896
mouse38	0.0012475635434
mouse4	-0.0579730055056
mouse52	-0.0177637612772
mouse54	-0.0348039465692
mouse62	-0.00114109732708
mouse63	0.00501390552349
mouse67	-0.0281576227683
mouse68	-0.0247247436655
mouse7	-0.0556583377548
mouse70	-0.0314769553961
mouse72	-0.043704779079
mouse73	-0.0299149482884
mouse76	-0.00791882957501
mouse9	-0.0632058769529
