mouse	paired_difference
mouse11	-0.00389260218798
mouse15	-0.00622924138931
mouse18	-0.0404227367141
mouse19	-0.0726829549275
mouse20	-0.0627989256281
mouse21	-0.0203145821568
mouse23	-0.0348444631261
mouse34	-0.073610606729
mouse4	-0.0563199042853
mouse45	-0.0782998853483
mouse54	-0.0149039777034
mouse6	-0.0573558856466
mouse60	-0.00450916402324
mouse62	-0.0239584334935
mouse63	-0.0267314210252
mouse67	-0.0414875443968
mouse68	-0.0210383057622
mouse7	-0.0497342197483
mouse70	-0.034346483422
mouse72	-0.0024811427356
mouse73	2.530237071e-05
mouse74	-0.100749892893
mouse76	-0.0287516249252
mouse8	-0.0382015558442
mouse9	-0.065227236981
