guide	pseudo
Non_target_99	0
Non_target_101	0
Non_target_7	0
Non_target_370	0
Non_target_318	1
Non_target_163	1
Non_target_70	1
Non_target_95	1
Non_target_126	2
Non_target_298	2
Non_target_327	2
Non_target_296	2
Non_target_216	3
Non_target_57	3
Non_target_40	3
Non_target_52	3
Non_target_93	4
Non_target_146	4
Non_target_103	4
Non_target_323	4
Non_target_236	5
Non_target_107	5
Non_target_354	5
Non_target_399	5
Non_target_120	6
Non_target_176	6
Non_target_281	6
Non_target_333	6
Non_target_127	7
Non_target_139	7
Non_target_256	7
Non_target_102	7
Non_target_290	8
Non_target_132	8
Non_target_83	8
Non_target_259	8
Non_target_67	9
Non_target_279	9
Non_target_62	9
Non_target_31	9
Non_target_14	10
Non_target_97	10
Non_target_65	10
Non_target_63	10
Non_target_234	11
Non_target_175	11
Non_target_94	11
Non_target_293	11
Non_target_41	12
Non_target_35	12
Non_target_115	12
Non_target_330	12
Non_target_88	13
Non_target_385	13
Non_target_364	13
Non_target_196	13
Non_target_189	14
Non_target_302	14
Non_target_17	14
Non_target_273	14
Non_target_361	15
Non_target_191	15
Non_target_349	15
Non_target_329	15
Non_target_368	16
Non_target_261	16
Non_target_357	16
Non_target_228	16
Non_target_122	17
Non_target_178	17
Non_target_365	17
Non_target_38	17
Non_target_253	18
Non_target_158	18
Non_target_194	18
Non_target_221	18
Non_target_291	19
Non_target_341	19
Non_target_159	19
Non_target_45	19
Non_target_274	20
Non_target_15	20
Non_target_199	20
Non_target_211	20
Non_target_396	21
Non_target_82	21
Non_target_380	21
Non_target_118	21
Non_target_51	22
Non_target_29	22
Non_target_53	22
Non_target_350	22
Non_target_319	23
Non_target_268	23
Non_target_33	23
Non_target_390	23
Non_target_43	24
Non_target_165	24
Non_target_208	24
Non_target_295	24
Non_target_50	25
Non_target_92	25
Non_target_108	25
Non_target_278	25
Non_target_214	26
Non_target_28	26
Non_target_148	26
Non_target_249	26
Non_target_76	27
Non_target_161	27
Non_target_119	27
Non_target_260	27
Non_target_174	28
Non_target_218	28
Non_target_81	28
Non_target_393	28
Non_target_134	29
Non_target_315	29
Non_target_182	29
Non_target_91	29
Non_target_207	30
Non_target_143	30
Non_target_346	30
Non_target_140	30
Non_target_225	31
Non_target_117	31
Non_target_344	31
Non_target_157	31
Non_target_84	32
Non_target_316	32
Non_target_284	32
Non_target_270	32
Non_target_135	33
Non_target_297	33
Non_target_188	33
Non_target_332	33
Non_target_186	34
Non_target_12	34
Non_target_59	34
Non_target_201	34
Non_target_138	35
Non_target_245	35
Non_target_150	35
Non_target_30	35
Non_target_276	36
Non_target_71	36
Non_target_74	36
Non_target_77	36
Non_target_48	37
Non_target_203	37
Non_target_96	37
Non_target_217	37
Non_target_222	38
Non_target_265	38
Non_target_90	38
Non_target_240	38
Non_target_379	39
Non_target_10	39
Non_target_280	39
Non_target_184	39
Non_target_367	40
