pseudo	source	weighted	cells	original	retention	effect
0	mouse10	-0.0636982043476	20	20	1	-0.00318491021738
0	mouse11	0.405159278174	45	45	1	0.00900353951498
0	mouse12	-0.107020396978	29	29	1	-0.00369035851647
0	mouse13	-1.04890335135	38	39	0.974358974359	-0.0276027197723
0	mouse15	-0.343959507811	29	29	1	-0.0118606726831
0	mouse16	-0.2039437178	25	25	1	-0.00815774871199
0	mouse18	-0.026479275603	33	35	0.942857142857	-0.000802402291001
0	mouse19	0.548420420149	26	26	1	0.0210930930827
0	mouse20	-0.316374933516	37	37	1	-0.00855067387881
0	mouse21	-0.518142423783	27	27	1	-0.0191904601401
0	mouse22	-0.398673434824	25	27	0.925925925926	-0.0159469373929
0	mouse23	-0.713574224699	47	47	1	-0.0151824303127
0	mouse26	0.803859377731	26	26	1	0.0309176683743
0	mouse34	0.580610979101	29	29	1	0.0200210682449
0	mouse35	-0.559053692215	28	28	1	-0.0199662032934
0	mouse36	0.00951460829225	27	27	1	0.000352392899713
0	mouse37	0.404056546532	23	23	1	0.0175676759362
0	mouse38	-1.31365218257	39	39	1	-0.0336833892966
0	mouse4	-0.453049023271	26	27	0.962962962963	-0.0174249624335
0	mouse44	-0.545696552318	31	31	1	-0.0176031145909
0	mouse45	-0.00203221090061	26	26	1	-7.81619577156e-05
0	mouse52	0.581630020189	31	31	1	0.0187622587158
0	mouse54	0.301528269313	25	25	1	0.0120611307725
0	mouse55	0.23707424268	32	32	1	0.00740857008375
0	mouse6	-0.260098175685	25	25	1	-0.0104039270274
0	mouse60	0.811680197934	56	57	0.982456140351	0.0144942892488
0	mouse62	0.45703688742	49	49	1	0.00932728341673
0	mouse63	-1.01188268974	58	58	1	-0.0174462532714
0	mouse67	0.365604798508	52	52	1	0.00703086150977
0	mouse68	-0.492712580926	66	66	1	-0.00746534213524
0	mouse69	-0.190487120176	21	22	0.954545454545	-0.00907081524649
0	mouse7	-0.30156365802	31	31	1	-0.00972785993612
0	mouse70	0.0456025453674	36	36	1	0.00126673737132
0	mouse72	-0.00538181189542	67	67	1	-8.03255506779e-05
0	mouse73	-0.157990152253	54	54	1	-0.00292574356023
0	mouse74	-0.104788185744	33	33	1	-0.003175399568
0	mouse75	-0.0459958429097	27	27	1	-0.0017035497374
0	mouse76	-0.509687582082	53	53	1	-0.00961674683174
0	mouse8	0.231000447154	33	33	1	0.00700001355012
0	mouse9	-0.28997099358	35	35	1	-0.00828488553087
1	mouse11	0.0675553536756	34	35	0.971428571429	0.00198692216693
1	mouse12	-0.028260391315	29	29	1	-0.000974496252241
1	mouse13	-0.575250387549	28	29	0.965517241379	-0.0205446566982
1	mouse14	0.158619778412	22	24	0.916666666667	0.00720998992783
1	mouse15	0.0666787217282	31	32	0.96875	0.00215092650736
1	mouse16	-0.446595801754	20	20	1	-0.0223297900877
1	mouse18	-0.330022511512	40	40	1	-0.00825056278779
1	mouse19	-0.592691987631	24	24	1	-0.0246954994846
1	mouse20	-0.136262262426	41	41	1	-0.00332346981526
1	mouse21	-0.235945041844	36	37	0.972972972973	-0.00655402894012
1	mouse22	0.5749299458	36	36	1	0.0159702762722
1	mouse23	0.962960162676	60	60	1	0.0160493360446
1	mouse24	0.365487434194	21	21	1	0.017404163533
1	mouse25	-0.956324365014	26	26	1	-0.0367817063467
1	mouse26	-0.093776524455	29	29	1	-0.00323367325707
