focal	comparator	overlapping_mice	mean	within_panel_descriptive_rank
Naa20	Becn1	34	-0.0116584436201	1
Naa20	Pnkd	38	0.000520304776303	9
Naa20	Adarb1	34	0.001407960133	12
Naa20	Stx1b	35	0.00183144186931	13
Naa20	Mboat7	33	0.00219171547829	15
Naa20	Manf	37	-0.00166225690484	5
Naa20	Brsk2	35	0.000964103062823	10
Naa20	Lztr1	37	-0.000449371367131	8
Naa20	Cox5a	36	-0.00341935803794	3
Naa20	Hnrnpdl	37	0.00106852550472	11
Naa20	Kcnc1	38	-0.00156511051717	6
Naa20	Arl3	34	-0.00299539367394	4
Naa20	Gabbr1	37	-0.00118851466665	7
Naa20	Phf21a	33	-0.0115874111516	2
Naa20	Atad1	31	0.00188308623639	14
Pomp	Nlgn1	15	0.0124486186805	15
Pomp	Ift88	17	0.00429700253247	14
Pomp	Pik3cb	11	-0.00303875899299	2
Pomp	Pcdh19	15	0.000798148647623	5
Pomp	Sipa1l3	17	-0.00575846040065	1
Pomp	Foxj3	15	-0.000116090602734	4
Pomp	Rlf	18	0.00138729358538	6
Pomp	Hdgf	17	0.00196334425431	7
Pomp	Sclt1	14	0.00377479467915	13
Pomp	Pank2	15	0.00345232452651	10
Pomp	Dnajb4	14	0.00301149589463	9
Pomp	Rasa2	17	0.0034809330427	11
Pomp	Amfr	14	0.00369638884534	12
Pomp	Rhot1	15	-0.000718580519079	3
Pomp	Phactr1	17	0.00220015571115	8
Psmb4	Lmbr1	0	NA	NA
Psmc5	Chl1	18	0.00285550899477	16
Psmc5	Ndufa4	21	-0.00178204440788	6
Psmc5	Uqcrc2	18	0.00749300814156	20
Psmc5	Nup93	21	0.00285488535244	15
Psmc5	Hivep2	22	-0.00339483233675	3
Psmc5	Wnk1	20	-0.00604052881367	1
Psmc5	Bbip1	18	0.000129482955453	13
Psmc5	Fnip1	21	-0.0031740074024	4
Psmc5	Ddx3x	20	-0.00281528262181	5
Psmc5	Ndufb9	25	-0.0015450370322	7
Psmc5	Pi4ka	21	-0.000107200642952	12
Psmc5	Pum1	19	-0.00579767679465	2
Psmc5	Pogz	15	-0.000608317185152	9
Psmc5	Mphosph9	22	-0.000523925592341	11
Psmc5	Ap4s1	23	-0.000598403768683	10
Psmc5	Rdx	21	0.00633497951176	19
Psmc5	Ndufs1	16	0.00354083121216	17
Psmc5	Gabra5	18	-0.00154049154117	8
Psmc5	Tfrc	21	0.00547401997818	18
Psmc5	Cdc40	19	0.00266053219232	14
