target	readout	litter	effect
Naa20	proteasome	2	0.00035656202147
Naa20	proteasome	3	0.012834698498
Naa20	proteasome	4	0.0133612743226
Naa20	proteasome	5	0.0157701936398
Naa20	proteasome	6	0.0318238388933
Naa20	proteasome	7	0.010773846309
Naa20	proteasome	8	0.0277369477211
Naa20	proteasome	9	0.0230850635736
Naa20	synapse	2	-0.026159863907
Naa20	synapse	3	-0.00981869930341
Naa20	synapse	4	-0.00287328222565
Naa20	synapse	5	-0.0272018042102
Naa20	synapse	6	-0.0234053678113
Naa20	synapse	7	-0.00871365931889
Naa20	synapse	8	-0.0173852076701
Naa20	synapse	9	-0.0157037255654
Pomp	proteasome	2	0.103976491877
Pomp	proteasome	3	0.131928087974
Pomp	proteasome	4	0.0604125454609
Pomp	proteasome	5	0.0521578260191
Pomp	proteasome	6	-0.015020052293
Pomp	proteasome	7	0.0539158736531
Pomp	proteasome	8	0.0457434601281
Pomp	proteasome	9	0.0527378694608
Pomp	synapse	2	-0.0574412028757
Pomp	synapse	3	-0.0622936619105
Pomp	synapse	4	-0.050394547878
Pomp	synapse	5	-0.0145800603092
Pomp	synapse	6	-0.00457555147744
Pomp	synapse	7	-0.0268762316138
Pomp	synapse	8	-0.000495169063955
Pomp	synapse	9	-0.0287892207552
Psmb4	proteasome	2	0.198493951962
Psmb4	proteasome	3	0.197361165924
Psmb4	proteasome	4	0.160526848955
Psmb4	proteasome	8	0.0665868171911
Psmb4	proteasome	9	0.10010806233
Psmb4	synapse	2	-0.105430472902
Psmb4	synapse	3	-0.0943660948836
Psmb4	synapse	4	-0.0990478223967
Psmb4	synapse	8	-0.0362296461384
Psmb4	synapse	9	-0.0631442257563
Psmc5	proteasome	2	0.0982158809011
Psmc5	proteasome	3	0.0973402272154
Psmc5	proteasome	4	0.0788843460638
Psmc5	proteasome	5	0.0755401705499
Psmc5	proteasome	6	0.13751556571
Psmc5	proteasome	7	0.0513691823084
Psmc5	proteasome	8	0.0675843121763
Psmc5	proteasome	9	0.0825973797035
Psmc5	synapse	2	-0.0535119314708
Psmc5	synapse	3	-0.0310901929526
Psmc5	synapse	4	-0.0456009688396
Psmc5	synapse	5	-0.0735798339995
Psmc5	synapse	6	-0.0801654946942
Psmc5	synapse	7	-0.0173938779982
Psmc5	synapse	8	-0.0189878951203
Psmc5	synapse	9	-0.0342116486186
