target	mouse	guide	cells
Adamts17	mouse1	Adamts17_1	3
Adamts17	mouse1	Adamts17_2	1
Adamts17	mouse1	Adamts17_3	1
Adamts17	mouse10	Adamts17_1	8
Adamts17	mouse10	Adamts17_2	9
Adamts17	mouse10	Adamts17_3	5
Adamts17	mouse10	Adamts17_4	8
Adamts17	mouse11	Adamts17_1	11
Adamts17	mouse11	Adamts17_2	10
Adamts17	mouse11	Adamts17_3	13
Adamts17	mouse11	Adamts17_4	12
Adamts17	mouse12	Adamts17_1	8
Adamts17	mouse12	Adamts17_2	5
Adamts17	mouse12	Adamts17_3	4
Adamts17	mouse12	Adamts17_4	12
Adamts17	mouse13	Adamts17_1	6
Adamts17	mouse13	Adamts17_2	9
Adamts17	mouse13	Adamts17_3	6
Adamts17	mouse13	Adamts17_4	8
Adamts17	mouse14	Adamts17_1	2
Adamts17	mouse14	Adamts17_2	5
Adamts17	mouse14	Adamts17_3	2
Adamts17	mouse14	Adamts17_4	10
Adamts17	mouse15	Adamts17_1	2
Adamts17	mouse15	Adamts17_2	8
Adamts17	mouse15	Adamts17_3	8
Adamts17	mouse15	Adamts17_4	11
Adamts17	mouse16	Adamts17_1	6
Adamts17	mouse16	Adamts17_2	1
Adamts17	mouse16	Adamts17_3	5
Adamts17	mouse16	Adamts17_4	9
Adamts17	mouse17	Adamts17_1	2
Adamts17	mouse17	Adamts17_2	2
Adamts17	mouse17	Adamts17_3	4
Adamts17	mouse17	Adamts17_4	7
Adamts17	mouse18	Adamts17_1	7
Adamts17	mouse18	Adamts17_2	9
Adamts17	mouse18	Adamts17_3	9
Adamts17	mouse18	Adamts17_4	15
Adamts17	mouse19	Adamts17_1	1
Adamts17	mouse19	Adamts17_2	5
Adamts17	mouse19	Adamts17_3	1
Adamts17	mouse19	Adamts17_4	9
Adamts17	mouse2	Adamts17_1	1
Adamts17	mouse2	Adamts17_2	9
Adamts17	mouse2	Adamts17_3	2
Adamts17	mouse2	Adamts17_4	3
Adamts17	mouse20	Adamts17_1	4
Adamts17	mouse20	Adamts17_2	11
Adamts17	mouse20	Adamts17_3	6
Adamts17	mouse20	Adamts17_4	23
Adamts17	mouse21	Adamts17_1	4
Adamts17	mouse21	Adamts17_2	9
Adamts17	mouse21	Adamts17_3	5
Adamts17	mouse21	Adamts17_4	14
Adamts17	mouse22	Adamts17_1	4
Adamts17	mouse22	Adamts17_2	4
Adamts17	mouse22	Adamts17_3	2
Adamts17	mouse22	Adamts17_4	12
Adamts17	mouse23	Adamts17_1	7
Adamts17	mouse23	Adamts17_2	12
Adamts17	mouse23	Adamts17_3	5
Adamts17	mouse23	Adamts17_4	13
Adamts17	mouse24	Adamts17_1	3
Adamts17	mouse24	Adamts17_2	5
Adamts17	mouse24	Adamts17_3	2
Adamts17	mouse24	Adamts17_4	8
Adamts17	mouse25	Adamts17_1	4
Adamts17	mouse25	Adamts17_2	7
Adamts17	mouse25	Adamts17_3	3
Adamts17	mouse25	Adamts17_4	4
Adamts17	mouse26	Adamts17_1	3
Adamts17	mouse26	Adamts17_2	1
Adamts17	mouse26	Adamts17_3	5
Adamts17	mouse26	Adamts17_4	11
Adamts17	mouse27	Adamts17_2	1
Adamts17	mouse27	Adamts17_4	1
Adamts17	mouse29	Adamts17_1	1
Adamts17	mouse29	Adamts17_2	6
Adamts17	mouse29	Adamts17_3	3
Adamts17	mouse29	Adamts17_4	4
Adamts17	mouse3	Adamts17_1	2
Adamts17	mouse3	Adamts17_2	5
Adamts17	mouse3	Adamts17_3	4
Adamts17	mouse3	Adamts17_4	8
Adamts17	mouse30	Adamts17_2	2
Adamts17	mouse30	Adamts17_3	1
Adamts17	mouse30	Adamts17_4	3
Adamts17	mouse31	Adamts17_1	3
Adamts17	mouse31	Adamts17_2	3
Adamts17	mouse31	Adamts17_3	6
Adamts17	mouse31	Adamts17_4	8
Adamts17	mouse32	Adamts17_1	1
Adamts17	mouse32	Adamts17_2	1
Adamts17	mouse32	Adamts17_3	3
Adamts17	mouse32	Adamts17_4	4
Adamts17	mouse33	Adamts17_2	4
Adamts17	mouse33	Adamts17_3	1
Adamts17	mouse33	Adamts17_4	4
Adamts17	mouse34	Adamts17_1	4
Adamts17	mouse34	Adamts17_2	11
Adamts17	mouse34	Adamts17_3	7
Adamts17	mouse34	Adamts17_4	8
Adamts17	mouse35	Adamts17_1	2
Adamts17	mouse35	Adamts17_2	3
Adamts17	mouse35	Adamts17_3	7
Adamts17	mouse35	Adamts17_4	4
Adamts17	mouse36	Adamts17_1	5
Adamts17	mouse36	Adamts17_2	6
Adamts17	mouse36	Adamts17_3	10
Adamts17	mouse36	Adamts17_4	5
Adamts17	mouse37	Adamts17_2	4
Adamts17	mouse37	Adamts17_3	4
Adamts17	mouse37	Adamts17_4	5
Adamts17	mouse38	Adamts17_1	2
Adamts17	mouse38	Adamts17_2	11
Adamts17	mouse38	Adamts17_3	3
Adamts17	mouse38	Adamts17_4	15
Adamts17	mouse39	Adamts17_2	1
Adamts17	mouse39	Adamts17_3	1
Adamts17	mouse39	Adamts17_4	7
Adamts17	mouse4	Adamts17_1	9
Adamts17	mouse4	Adamts17_2	9
Adamts17	mouse4	Adamts17_3	1
Adamts17	mouse4	Adamts17_4	12
Adamts17	mouse40	Adamts17_1	1
Adamts17	mouse40	Adamts17_2	4
Adamts17	mouse40	Adamts17_3	1
Adamts17	mouse40	Adamts17_4	7
Adamts17	mouse41	Adamts17_1	3
Adamts17	mouse41	Adamts17_2	6
Adamts17	mouse41	Adamts17_3	2
Adamts17	mouse41	Adamts17_4	5
Adamts17	mouse42	Adamts17_2	5
Adamts17	mouse42	Adamts17_3	4
Adamts17	mouse42	Adamts17_4	4
Adamts17	mouse44	Adamts17_1	2
Adamts17	mouse44	Adamts17_2	13
Adamts17	mouse44	Adamts17_3	6
Adamts17	mouse44	Adamts17_4	6
Adamts17	mouse45	Adamts17_1	2
Adamts17	mouse45	Adamts17_2	5
Adamts17	mouse45	Adamts17_3	7
Adamts17	mouse45	Adamts17_4	9
Adamts17	mouse46	Adamts17_1	1
Adamts17	mouse46	Adamts17_2	4
Adamts17	mouse46	Adamts17_3	1
Adamts17	mouse46	Adamts17_4	6
Adamts17	mouse47	Adamts17_2	2
Adamts17	mouse47	Adamts17_3	2
Adamts17	mouse47	Adamts17_4	2
Adamts17	mouse48	Adamts17_1	1
Adamts17	mouse48	Adamts17_2	4
Adamts17	mouse48	Adamts17_3	2
Adamts17	mouse48	Adamts17_4	2
Adamts17	mouse49	Adamts17_2	2
Adamts17	mouse49	Adamts17_3	1
Adamts17	mouse49	Adamts17_4	1
Adamts17	mouse5	Adamts17_2	2
Adamts17	mouse5	Adamts17_3	2
Adamts17	mouse5	Adamts17_4	2
Adamts17	mouse50	Adamts17_1	1
Adamts17	mouse50	Adamts17_2	1
Adamts17	mouse50	Adamts17_3	1
Adamts17	mouse50	Adamts17_4	2
Adamts17	mouse51	Adamts17_3	1
Adamts17	mouse51	Adamts17_4	5
Adamts17	mouse52	Adamts17_1	2
Adamts17	mouse52	Adamts17_2	8
Adamts17	mouse52	Adamts17_3	2
Adamts17	mouse52	Adamts17_4	12
Adamts17	mouse53	Adamts17_2	3
Adamts17	mouse53	Adamts17_3	2
Adamts17	mouse53	Adamts17_4	2
Adamts17	mouse54	Adamts17_1	5
Adamts17	mouse54	Adamts17_2	5
Adamts17	mouse54	Adamts17_3	5
Adamts17	mouse54	Adamts17_4	17
Adamts17	mouse55	Adamts17_1	1
Adamts17	mouse55	Adamts17_2	8
Adamts17	mouse55	Adamts17_3	5
Adamts17	mouse55	Adamts17_4	18
Adamts17	mouse56	Adamts17_1	2
Adamts17	mouse56	Adamts17_2	5
Adamts17	mouse56	Adamts17_3	5
Adamts17	mouse56	Adamts17_4	2
Adamts17	mouse57	Adamts17_2	3
Adamts17	mouse57	Adamts17_3	1
Adamts17	mouse57	Adamts17_4	11
Adamts17	mouse58	Adamts17_1	1
Adamts17	mouse58	Adamts17_2	2
Adamts17	mouse58	Adamts17_3	2
Adamts17	mouse58	Adamts17_4	1
Adamts17	mouse59	Adamts17_1	1
Adamts17	mouse59	Adamts17_3	2
Adamts17	mouse59	Adamts17_4	4
Adamts17	mouse6	Adamts17_1	3
Adamts17	mouse6	Adamts17_2	2
Adamts17	mouse6	Adamts17_3	4
Adamts17	mouse6	Adamts17_4	3
Adamts17	mouse60	Adamts17_1	13
Adamts17	mouse60	Adamts17_2	18
Adamts17	mouse60	Adamts17_3	11
Adamts17	mouse60	Adamts17_4	21
Adamts17	mouse61	Adamts17_1	4
Adamts17	mouse61	Adamts17_2	1
Adamts17	mouse61	Adamts17_3	2
Adamts17	mouse61	Adamts17_4	3
Adamts17	mouse62	Adamts17_1	15
Adamts17	mouse62	Adamts17_2	21
Adamts17	mouse62	Adamts17_3	8
Adamts17	mouse62	Adamts17_4	20
Adamts17	mouse63	Adamts17_1	13
Adamts17	mouse63	Adamts17_2	19
Adamts17	mouse63	Adamts17_3	17
Adamts17	mouse63	Adamts17_4	19
Adamts17	mouse64	Adamts17_1	2
Adamts17	mouse64	Adamts17_2	4
Adamts17	mouse64	Adamts17_3	1
Adamts17	mouse64	Adamts17_4	5
Adamts17	mouse66	Adamts17_1	2
Adamts17	mouse66	Adamts17_2	1
Adamts17	mouse66	Adamts17_3	1
Adamts17	mouse66	Adamts17_4	3
Adamts17	mouse67	Adamts17_1	6
Adamts17	mouse67	Adamts17_2	12
Adamts17	mouse67	Adamts17_3	11
Adamts17	mouse67	Adamts17_4	15
Adamts17	mouse68	Adamts17_1	8
Adamts17	mouse68	Adamts17_2	14
Adamts17	mouse68	Adamts17_3	13
Adamts17	mouse68	Adamts17_4	24
Adamts17	mouse69	Adamts17_1	4
Adamts17	mouse69	Adamts17_2	8
Adamts17	mouse69	Adamts17_3	8
Adamts17	mouse69	Adamts17_4	10
Adamts17	mouse7	Adamts17_1	7
Adamts17	mouse7	Adamts17_2	14
Adamts17	mouse7	Adamts17_3	15
Adamts17	mouse7	Adamts17_4	14
Adamts17	mouse70	Adamts17_1	12
Adamts17	mouse70	Adamts17_2	19
Adamts17	mouse70	Adamts17_3	9
Adamts17	mouse70	Adamts17_4	17
Adamts17	mouse71	Adamts17_1	2
Adamts17	mouse71	Adamts17_2	2
Adamts17	mouse71	Adamts17_3	2
Adamts17	mouse71	Adamts17_4	4
Adamts17	mouse72	Adamts17_1	8
Adamts17	mouse72	Adamts17_2	17
Adamts17	mouse72	Adamts17_3	22
Adamts17	mouse72	Adamts17_4	24
Adamts17	mouse73	Adamts17_1	8
Adamts17	mouse73	Adamts17_2	15
Adamts17	mouse73	Adamts17_3	4
Adamts17	mouse73	Adamts17_4	15
Adamts17	mouse74	Adamts17_1	3
Adamts17	mouse74	Adamts17_2	7
Adamts17	mouse74	Adamts17_4	11
Adamts17	mouse75	Adamts17_1	4
Adamts17	mouse75	Adamts17_2	8
Adamts17	mouse75	Adamts17_3	4
Adamts17	mouse75	Adamts17_4	13
Adamts17	mouse76	Adamts17_1	6
Adamts17	mouse76	Adamts17_2	13
Adamts17	mouse76	Adamts17_3	12
Adamts17	mouse76	Adamts17_4	33
Adamts17	mouse8	Adamts17_1	4
Adamts17	mouse8	Adamts17_2	11
Adamts17	mouse8	Adamts17_3	7
Adamts17	mouse8	Adamts17_4	12
Adamts17	mouse9	Adamts17_1	6
Adamts17	mouse9	Adamts17_2	10
