gene_target	source	original_cells	retained_cells	retention	primary	min10
Abat	mouse1	13	13	1	False	True
Abat	mouse10	18	18	1	False	True
Abat	mouse11	41	41	1	True	True
Abat	mouse12	27	27	1	True	True
Abat	mouse13	35	35	1	True	True
Abat	mouse14	19	19	1	False	True
Abat	mouse15	36	36	1	True	True
Abat	mouse16	18	18	1	False	True
Abat	mouse17	10	10	1	False	True
Abat	mouse18	39	39	1	True	True
Abat	mouse19	23	23	1	True	True
Abat	mouse2	15	14	0.933333333333	False	True
Abat	mouse20	35	35	1	True	True
Abat	mouse21	29	28	0.965517241379	True	True
Abat	mouse22	25	25	1	True	True
Abat	mouse23	50	50	1	True	True
Abat	mouse24	19	19	1	False	True
Abat	mouse25	22	22	1	True	True
Abat	mouse26	22	22	1	True	True
Abat	mouse27	4	0	0	False	False
Abat	mouse29	7	7	1	False	False
Abat	mouse3	18	16	0.888888888889	False	True
Abat	mouse30	7	5	0.714285714286	False	False
Abat	mouse31	14	14	1	False	True
Abat	mouse32	17	17	1	False	True
Abat	mouse33	18	18	1	False	True
Abat	mouse34	35	35	1	True	True
Abat	mouse35	21	21	1	True	True
Abat	mouse36	21	21	1	True	True
Abat	mouse37	17	17	1	False	True
Abat	mouse38	25	25	1	True	True
Abat	mouse39	9	9	1	False	False
Abat	mouse4	24	24	1	True	True
Abat	mouse40	5	5	1	False	False
Abat	mouse41	13	13	1	False	True
Abat	mouse42	8	8	1	False	False
Abat	mouse44	25	25	1	True	True
Abat	mouse45	27	27	1	True	True
Abat	mouse46	7	7	1	False	False
Abat	mouse47	7	6	0.857142857143	False	False
Abat	mouse48	6	5	0.833333333333	False	False
Abat	mouse49	5	5	1	False	False
Abat	mouse5	6	5	0.833333333333	False	False
Abat	mouse50	5	5	1	False	False
Abat	mouse51	9	9	1	False	False
Abat	mouse52	42	42	1	True	True
Abat	mouse53	9	9	1	False	False
Abat	mouse54	31	31	1	True	True
Abat	mouse55	30	30	1	True	True
Abat	mouse56	17	16	0.941176470588	False	True
Abat	mouse57	16	14	0.875	False	True
Abat	mouse58	7	6	0.857142857143	False	False
Abat	mouse59	10	9	0.9	False	False
Abat	mouse6	23	23	1	True	True
Abat	mouse60	39	39	1	True	True
Abat	mouse61	24	24	1	True	True
Abat	mouse62	54	54	1	True	True
Abat	mouse63	56	55	0.982142857143	True	True
Abat	mouse64	10	10	1	False	True
Abat	mouse66	7	7	1	False	False
Abat	mouse67	46	45	0.978260869565	True	True
Abat	mouse68	59	58	0.983050847458	True	True
Abat	mouse69	38	38	1	True	True
Abat	mouse7	22	22	1	True	True
Abat	mouse70	32	32	1	True	True
Abat	mouse71	12	12	1	False	True
Abat	mouse72	68	68	1	True	True
Abat	mouse73	30	29	0.966666666667	True	True
Abat	mouse74	26	26	1	True	True
Abat	mouse75	18	18	1	False	True
Abat	mouse76	44	44	1	True	True
Abat	mouse8	27	27	1	True	True
Abat	mouse9	41	41	1	True	True
Abca1	mouse1	7	7	1	False	False
Abca1	mouse10	25	25	1	True	True
Abca1	mouse11	56	56	1	True	True
Abca1	mouse12	35	35	1	True	True
Abca1	mouse13	43	43	1	True	True
Abca1	mouse14	27	26	0.962962962963	True	True
Abca1	mouse15	34	34	1	True	True
Abca1	mouse16	35	35	1	True	True
Abca1	mouse17	22	22	1	True	True
Abca1	mouse18	49	49	1	True	True
Abca1	mouse19	34	34	1	True	True
Abca1	mouse2	11	11	1	False	True
Abca1	mouse20	53	53	1	True	True
Abca1	mouse21	36	36	1	True	True
Abca1	mouse22	36	36	1	True	True
Abca1	mouse23	51	51	1	True	True
Abca1	mouse24	12	12	1	False	True
Abca1	mouse25	22	22	1	True	True
Abca1	mouse26	34	33	0.970588235294	True	True
Abca1	mouse27	7	2	0.285714285714	False	False
Abca1	mouse29	16	16	1	False	True
Abca1	mouse3	10	9	0.9	False	False
Abca1	mouse30	9	6	0.666666666667	False	False
Abca1	mouse31	15	15	1	False	True
Abca1	mouse32	9	9	1	False	False
Abca1	mouse33	14	14	1	False	True
Abca1	mouse34	38	37	0.973684210526	True	True
Abca1	mouse35	26	25	0.961538461538	True	True
Abca1	mouse36	24	24	1	True	True
Abca1	mouse37	19	18	0.947368421053	False	True
Abca1	mouse38	32	32	1	True	True
