target	omitted	mean
Naa20	Becn1	-0.0128194752276
Naa20	Pnkd	-0.0120491832946
Naa20	Adarb1	-0.0120211021351
Naa20	Stx1b	-0.0119684019187
Naa20	Mboat7	-0.0119512115246
Naa20	Manf	-0.0121572237351
Naa20	Brsk2	-0.0120436527726
Naa20	Lztr1	-0.0121256470557
Naa20	Cox5a	-0.0122954748534
Naa20	Hnrnpdl	-0.0119500332116
Naa20	Kcnc1	-0.0122604465173
Naa20	Arl3	-0.0123203294847
Naa20	Gabbr1	-0.0121563723934
Naa20	Phf21a	-0.0127869189591
Naa20	Atad1	-0.0119243404625
Pomp	Nlgn1	-0.0345029721181
Pomp	Ift88	-0.0347713603899
Pomp	Pik3cb	-0.0354334867752
Pomp	Pcdh19	-0.0353026214284
Pomp	Sipa1l3	-0.0357550701045
Pomp	Foxj3	-0.0353016949383
Pomp	Rlf	-0.0351631418808
Pomp	Hdgf	-0.0353427776351
Pomp	Sclt1	-0.035130653562
Pomp	Pank2	-0.0351562792361
Pomp	Dnajb4	-0.0350707044778
Pomp	Rasa2	-0.0352905579412
Pomp	Amfr	-0.035104406691
Pomp	Rhot1	-0.0352219176798
Pomp	Phactr1	-0.0349388923081
Psmc5	Chl1	-0.0393839827383
Psmc5	Ndufa4	-0.0393554857736
Psmc5	Uqcrc2	-0.0390265826405
Psmc5	Nup93	-0.0394194493909
Psmc5	Hivep2	-0.0398700016882
Psmc5	Wnk1	-0.0399175002578
Psmc5	Bbip1	-0.039539025659
Psmc5	Fnip1	-0.0396442844261
Psmc5	Ddx3x	-0.0396186236289
Psmc5	Ndufb9	-0.0396853526884
Psmc5	Pi4ka	-0.039653402431
Psmc5	Pum1	-0.0398772765094
Psmc5	Pogz	-0.0394885958463
Psmc5	Mphosph9	-0.0396016568655
Psmc5	Ap4s1	-0.0396683918289
Psmc5	Rdx	-0.0392036054417
Psmc5	Ndufs1	-0.0393616556287
Psmc5	Gabra5	-0.0396971159236
Psmc5	Tfrc	-0.039180479579
Psmc5	Cdc40	-0.039476348127
