target	litter	effect
Naa20	2	-0.0201505934348
Naa20	3	-0.00701942450168
Naa20	4	-0.00323128634984
Naa20	5	-0.0274110255915
Naa20	6	-0.030846235857
Naa20	7	-0.00813698745059
Naa20	8	-0.0146916746376
Naa20	9	-0.0138905824759
Pomp	2	-0.0510077257657
Pomp	3	-0.0679999143968
Pomp	4	-0.0560186653714
Pomp	5	-0.010934581764
Pomp	6	-0.0117187252222
Pomp	7	-0.0262193764783
Pomp	8	-0.00195343271453
Pomp	9	-0.0305132353222
Psmc5	2	-0.0578330709116
Psmc5	3	-0.0280911398214
Psmc5	4	-0.0481797599365
Psmc5	5	-0.0776036324588
Psmc5	6	-0.0756732212141
Psmc5	7	-0.0192556406696
Psmc5	8	-0.0207506497791
Psmc5	9	-0.0323984294227
