target	mouse	focal_effect	comparator_mean	comparators_in_mouse	paired_difference	litter	primary_evaluable
Naa20	mouse10	-0.04806827407	0.00682082097956	11	-0.0548890950496	3	True
Naa20	mouse11	-0.00900708253099	-0.00339348554889	15	-0.0056135969821	3	True
Naa20	mouse12	0.0115326898365	0.00238545504841	10	0.00914723478804	3	True
Naa20	mouse13	0.00833145348615	0.00341431792782	15	0.00491713555833	3	True
Naa20	mouse15	0.000581076825727	-0.00404853216053	15	0.00462960898625	3	True
Naa20	mouse16	0.00304249720533	0.0021191122206	13	0.000923384984726	3	True
Naa20	mouse18	-0.00624404837197	-0.00325093880415	15	-0.00299310956782	4	True
Naa20	mouse19	-0.0159730487256	-0.00538169062157	15	-0.010591358104	4	True
Naa20	mouse20	0.00156490647733	0.00194128059273	15	-0.000376374115398	4	True
Naa20	mouse21	-0.0165131148966	-0.00192159150974	14	-0.0145915233869	4	True
Naa20	mouse22	-0.026155981068	0.0022955897872	15	-0.0284515708552	4	True
Naa20	mouse23	-0.00603391186867	-0.00450651457885	15	-0.00152739728982	4	True
Naa20	mouse25	0.0370870610007	0.0054728515018	10	0.0316142094989	4	True
Naa20	mouse26	0.00551647828111	0.0044496452596	8	0.0010668330215	4	True
Naa20	mouse31	-0.0521150590775	-0.00071333836729	7	-0.0514017207102	5	True
Naa20	mouse35	-0.00228854934285	0.00113178112989	12	-0.00342033047274	5	True
Naa20	mouse38	-0.0285962330341	-0.00589454618995	15	-0.0227016868442	6	True
Naa20	mouse4	-0.0242617451589	-0.00141208748759	15	-0.0228496576713	2	True
Naa20	mouse44	-0.0669031657178	0.00083460044971	13	-0.0677377661675	6	True
Naa20	mouse45	-0.00439913385922	-0.0022998793	14	-0.00209925455922	6	True
Naa20	mouse52	-0.00412400636766	0.00725890133806	15	-0.0113829077057	7	True
Naa20	mouse54	-0.00687728236261	-0.00421375057978	15	-0.00266353178283	7	True
Naa20	mouse55	-0.0151396892264	-0.00477516636321	15	-0.0103645228632	7	True
Naa20	mouse60	-0.0243150778149	0.000960474743047	15	-0.0252755525579	8	True
Naa20	mouse62	-0.0143912959254	-0.00329039851389	15	-0.0111008974115	8	True
Naa20	mouse63	-0.01344924927	-0.00575067532672	15	-0.00769857394332	8	True
Naa20	mouse67	-0.0300062044535	-0.00340129796905	15	-0.0266049064844	9	True
Naa20	mouse68	-0.0165362089505	-0.0017866752842	15	-0.0147495336663	9	True
Naa20	mouse69	-0.00203396974825	0.00154084502311	15	-0.00357481477136	9	True
Naa20	mouse7	-0.0280579826552	-0.010606453457	15	-0.0174515291982	2	True
Naa20	mouse70	-0.00125347716515	-0.00536654349286	15	0.00411306632771	9	True
Naa20	mouse72	-0.00326980274199	-0.00560478026074	15	0.00233497751875	9	True
Naa20	mouse73	-0.0239351107178	0.00174682396933	15	-0.0256819346871	9	True
Naa20	mouse74	-0.0519385835592	-0.00108642859986	14	-0.0508521549593	9	True
Naa20	mouse75	0.00590264301371	0.00334104506516	13	0.00256159794855	9	True
Naa20	mouse76	-0.0182628157661	-0.0057012762565	15	-0.0125615395096	9	True
Naa20	mouse8	-0.0198167908352	-0.0127039196362	15	-0.00711287119899	3	True
Naa20	mouse9	-0.00655242524891	0.00160477185122	15	-0.00815719710013	3	True
Pomp	mouse11	-0.062410903094	0.00677588982197	13	-0.0691867929159	3	True
Pomp	mouse19	-0.0432929919677	0.000840847307416	8	-0.0441338392752	4	True
Pomp	mouse20	-0.0406988736119	0.0154751329362	9	-0.0561740065481	4	True
Pomp	mouse23	-0.0671917780545	0.000556372236362	15	-0.0677481502908	4	True
Pomp	mouse34	-0.00947421802947	0.00146036373455	8	-0.010934581764	5	True
Pomp	mouse38	-0.00457555147744	0.00714317374473	10	-0.0117187252222	6	True
Pomp	mouse4	-0.0563145682613	-0.0121872083045	6	-0.0441273599568	2	True
Pomp	mouse52	-0.0164586163636	-0.00373267848774	12	-0.0127259378758	7	True
Pomp	mouse54	-0.037293846864	0.0024189682168	8	-0.0397128150808	7	True
Pomp	mouse62	-0.00393118114879	-9.95259653502e-05	15	-0.00383165518344	8	True
Pomp	mouse63	0.00294084302088	0.00301605326651	15	-7.52102456256e-05	8	True
Pomp	mouse67	-0.0303472021557	0.00331091105438	14	-0.0336581132101	9	True
Pomp	mouse68	-0.0239205743484	0.00557120019553	15	-0.0294917745439	9	True
Pomp	mouse7	-0.0585678374902	-0.000679745915757	9	-0.0578880915745	2	True
Pomp	mouse70	-0.0319574725881	0.00280270603102	15	-0.0347601786191	9	True
Pomp	mouse72	-0.0450761800878	0.00201642001331	15	-0.0470926001011	9	True
Pomp	mouse73	-0.0305536984617	-0.00240057253902	15	-0.0281531259227	9	True
Pomp	mouse76	-0.0108801968897	-0.000956577353453	15	-0.00992361953621	9	True
Pomp	mouse9	-0.0621764207269	0.00463661515082	14	-0.0668130358778	3	True
Psmc5	mouse11	-0.00698760607347	-0.0107768089336	20	0.0037892028601	3	True
Psmc5	mouse15	-0.0130126491377	-0.00935775839018	10	-0.00365489074748	3	True
Psmc5	mouse18	-0.0364782353926	0.00620585015568	18	-0.0426840855482	4	True
Psmc5	mouse19	-0.0735525080009	0.0114201344682	10	-0.0849726424691	4	True
Psmc5	mouse20	-0.0589493999787	0.00446129092576	18	-0.0634106909045	4	True
Psmc5	mouse21	-0.0208643762227	-0.00725672685486	10	-0.0136076493678	4	True
Psmc5	mouse23	-0.0381603246033	-0.0019365932105	20	-0.0362237313928	4	True
Psmc5	mouse34	-0.0735798339995	0.00402379845936	15	-0.0776036324588	5	True
Psmc5	mouse4	-0.054661467041	0.0072193249687	13	-0.0618807920097	2	True
Psmc5	mouse45	-0.0801654946942	-0.00449227348011	11	-0.0756732212141	6	True
Psmc5	mouse54	-0.0173938779982	0.0018617626714	10	-0.0192556406696	7	True
Psmc5	mouse6	-0.0532306078877	0.00466594968291	6	-0.0578965575706	2	True
Psmc5	mouse60	-0.00141068451769	0.00658827209909	20	-0.00799895661678	8	True
