NGenes	Direction	PValue	FDR	pathway	fixed_correlation
169	Up	3.47417970777893e-29	2.99474290810544e-26	R-HSA-72203	0
414	Up	3.78130422796392e-27	1.62974212225245e-24	R-HSA-8953854	0
132	Up	1.11690171874083e-20	3.20923093851531e-18	R-HSA-72172	0
131	Up	1.4922457660549e-20	3.2157896258483e-18	R-HSA-72163	0
150	Down	1.63095390387334e-18	2.81176453027764e-16	R-HSA-1428517	0
138	Up	1.80414011496311e-16	2.59194796516366e-14	R-HSA-9918481	0
184	Down	3.48666957757333e-16	4.28679292152848e-14	R-HSA-382551	0
95	Up	3.97846210814708e-16	4.28679292152848e-14	R-HSA-9770562	0
103	Down	1.21571216442233e-15	1.14237614606719e-13	R-HSA-611105	0
105	Up	1.32526235042597e-15	1.14237614606719e-13	R-HSA-72187	0
89	Up	8.5314025514998e-14	6.6855172721753e-12	R-HSA-4839726	0
55	Up	1.04087406772947e-13	7.47694538652335e-12	R-HSA-2990846	0
53	Up	3.3202846741936e-13	2.20160414550376e-11	R-HSA-3108232	0
49	Down	9.28842695015881e-13	5.71901716502635e-11	R-HSA-6799198	0
50	Up	3.92877593383906e-12	2.25773656997951e-10	R-HSA-3247509	0
90	Down	2.10015981444551e-11	1.07032068675171e-09	R-HSA-5368287	0
83	Down	2.1108412615753e-11	1.07032068675171e-09	R-HSA-5419276	0
171	Down	2.49049446170023e-11	1.19267012554755e-09	R-HSA-109582	0
85	Down	3.02146742362316e-11	1.37079206271745e-09	R-HSA-5389840	0
495	Up	4.19995829992226e-11	1.75464887878044e-09	R-HSA-9824446	0
84	Down	4.27466664204052e-11	1.75464887878044e-09	R-HSA-5368286	0
295	Up	6.51272465315847e-11	2.551803932283e-09	R-HSA-74160	0
64	Up	8.8666089901446e-11	3.32305084761071e-09	R-HSA-212165	0
59	Up	2.34779774106705e-10	8.43250688666582e-09	R-HSA-9932444	0
21	Up	6.42922099800602e-10	2.20961784285107e-08	R-HSA-9842860	0
204	Up	6.66474059328628e-10	2.20961784285107e-08	R-HSA-9839923	0
84	Down	2.0132186779227e-09	6.42738703840507e-08	R-HSA-76002	0
77	Down	5.30284717229688e-09	1.6325193794714e-07	R-HSA-9937383	0
104	Down	6.70471340116716e-09	1.99291825924348e-07	R-HSA-112316	0
33	Down	8.12794528049544e-09	2.33542961059569e-07	R-HSA-425407	0
29	Up	8.56632065292924e-09	2.38198980736291e-07	R-HSA-3108214	0
251	Up	2.234298106135e-08	6.01864052340117e-07	R-HSA-73857	0
87	Down	2.46374892564086e-08	6.43561083000734e-07	R-HSA-112315	0
15	Up	5.03852423550306e-08	1.27741408558931e-06	R-HSA-9845323	0
70	Down	5.54445747795465e-08	1.36552067028483e-06	R-HSA-9837999	0
23	Up	1.83018323411228e-07	4.38227207723551e-06	R-HSA-4570464	0
33	Up	2.51498991782874e-07	5.85924678153615e-06	R-HSA-9705671	0
46	Up	3.39837098608325e-07	7.70893628948358e-06	R-HSA-72202	0
23	Up	3.78445200768591e-07	8.18584871114797e-06	R-HSA-4551638	0
50	Down	3.79853768498746e-07	8.18584871114797e-06	R-HSA-1474244	0
19	Up	4.53725056405815e-07	9.53929264931251e-06	R-HSA-3214858	0
52	Up	5.53551862135522e-07	1.13609929800195e-05	R-HSA-9938024	0
122	Up	5.85084184730055e-07	1.17288969124955e-05	R-HSA-73894	0
29	Up	6.0805063015643e-07	1.19122646180646e-05	R-HSA-6784531	0
18	Down	9.66594167705645e-07	1.81131341861362e-05	R-HSA-6809371	0
18	Down	9.66594167705645e-07	1.81131341861362e-05	R-HSA-6805567	0
43	Down	1.21630775800111e-06	2.14307227969729e-05	R-HSA-983712	0
21	Up	1.25941052078728e-06	2.14307227969729e-05	R-HSA-9843745	0
23	Down	1.26079052445981e-06	2.14307227969729e-05	R-HSA-936837	0
26	Up	1.2679429961086e-06	2.14307227969729e-05	R-HSA-159231	0
26	Up	1.2679429961086e-06	2.14307227969729e-05	R-HSA-159234	0
64	Up	1.53235564249636e-06	2.54017416121512e-05	R-HSA-162587	0
206	Down	1.81930787626743e-06	2.9589497912123e-05	R-HSA-556833	0
46	Up	2.45181970129562e-06	3.9138307083645e-05	R-HSA-9937848	0
40	Up	4.57278154994868e-06	7.16679581101047e-05	R-HSA-159236	0
18	Up	4.66144657897685e-06	7.17529812692508e-05	R-HSA-3232142	0
128	Up	4.86788174597922e-06	7.36160362286682e-05	R-HSA-913531	0
35	Up	5.16010868210231e-06	7.66898911029688e-05	R-HSA-1169408	0
66	Down	5.91083701583522e-06	8.63583306381349e-05	R-HSA-112314	0
19	Up	6.14740164436104e-06	8.83176702906536e-05	R-HSA-4085377	0
14	Up	7.0431124634498e-06	9.95272613687497e-05	R-HSA-9932451	0
114	Up	7.31623735921263e-06	0.00010171930005873	R-HSA-1169410	0
11	Down	8.31116880303359e-06	0.000113717896955793	R-HSA-392518	0
22	Up	1.07821536513807e-05	0.000144178689866359	R-HSA-168276	0
50	Down	1.10050782444016e-05	0.000144178689866359	R-HSA-76005	0
15	Down	1.1039203632459e-05	0.000144178689866359	R-HSA-216083	0
10	Up	1.27797508101572e-05	0.000163172092717251	R-HSA-9933939	0
21	Up	1.30613392082254e-05	0.000163172092717251	R-HSA-159230	0
21	Up	1.30613392082254e-05	0.000163172092717251	R-HSA-159227	0
23	Up	1.64041540819695e-05	0.000202005440266538	R-HSA-177243	0
36	Up	1.7128790388844e-05	0.000206085854405665	R-HSA-5696399	0
47	Down	1.7229025562731e-05	0.000206085854405665	R-HSA-114608	0
30	Down	1.74527463707814e-05	0.000206085854405665	R-HSA-202733	0
11	Up	1.79900213411441e-05	0.000209559437784679	R-HSA-9843940	0
18	Up	1.96343200595928e-05	0.000225663785218253	R-HSA-8939243	0
49	Up	2.00488474919394e-05	0.000227396138658576	R-HSA-5696398	0
217	Up	2.11802389760664e-05	0.000237108649316484	R-HSA-1640170	0
14	Up	2.15356872326404e-05	0.000237996953776103	R-HSA-9943965	0
11	Up	2.58680907605132e-05	0.000282256889057751	R-HSA-9934037	0
23	Down	2.95567670621647e-05	0.000307503428895459	R-HSA-9768727	0
221	Up	3.03182989969011e-05	0.000307503428895459	R-HSA-212436	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-5619107	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-1855196	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-1855229	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-1855170	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-3301854	0
16	Up	3.10653510771776e-05	0.000307503428895459	R-HSA-170822	0
