target	mean	count	percentile_plusAO	role
Adarb1	0.0015119179054999	38	0.121188822313	comparator
Amfr	0.0050255033613656	18	0.904475316825	comparator
Ap4s1	0.00054992710736679	28	0.127710907259	comparator
Arl3	-0.0054681472121635	40	0.113765310992	comparator
Atad1	0.0027789641230053	36	0.122461424254	comparator
Bbip1	0.00043475650202729	24	0.118484543189	comparator
Becn1	-0.011458149520783	37	0.126862505965	comparator
Brsk2	0.0030171829095808	42	0.141444403203	comparator
Cdc40	0.00092323377295442	26	0.0865104194284	comparator
Chl1	0.0019814194867198	23	0.0970624105202	comparator
Cox5a	-0.0020009596407541	39	0.12712763137	comparator
Ddx3x	-0.0031459355194568	30	0.0857680682963	comparator
Dnajb4	-0.001106479966927	21	0.868683387242	comparator
Fnip1	-0.0035232661650392	25	0.110318680736	comparator
Foxj3	-0.0038737489589679	24	0.886234689008	comparator
Gabbr1	-0.002172310393303	40	0.10994750517	comparator
Gabra5	-0.00044040802680196	23	0.109417254361	comparator
Hdgf	0.0026818600218714	28	0.828225250544	comparator
Hivep2	-0.0023997961447987	30	0.0885253725012	comparator
Hnrnpdl	0.0010229894508171	45	0.124211251922	comparator
Ift88	0.0019036003772713	25	0.887560316029	comparator
Kcnc1	-0.0010790446044868	47	0.123309825547	comparator
Lmbr1	0.0070709320794637	10	0.749270905138	comparator
Lztr1	-0.00094022433818731	44	0.125961079591	comparator
Manf	-0.0027030408515958	43	0.143088180709	comparator
Mboat7	0.0023031145481303	38	0.116045389469	comparator
Mphosph9	-0.00045722329052803	31	0.10257701893	comparator
Naa20	-0.013029335909677	41	0.126756455804	focal
Ndufa4	-0.0040987726916381	27	0.118643618432	comparator
Ndufb9	-0.00019704398649734	32	0.115409088499	comparator
Ndufs1	0.001979727414851	20	0.113235060183	comparator
Nlgn1	0.0094912739343854	22	0.870804390477	comparator
Nup93	0.003895690537135	27	0.101516517313	comparator
Pank2	-0.001801886014092	22	0.913648655814	comparator
Pcdh19	0.003319253661723	23	0.818150485179	comparator
Phactr1	0.00075471804173234	29	0.862638528024	comparator
Phf21a	-0.010250161886264	37	0.123521925871	comparator
Pi4ka	0.00051425818607817	27	0.120605546423	comparator
Pik3cb	0.0016048503296667	15	0.876000848401	comparator
Pnkd	0.00014013896717034	44	0.131210562596	comparator
Pogz	0.0010611749385788	20	0.102630044011	comparator
Pomp	-0.032593358559466	20	0.864812556339	focal
Psmb4	-0.077026535770677	13	0.744763773265	focal
Psmc5	-0.039219433712153	25	0.108197677501	focal
Pum1	-0.0060838574131557	23	0.0763826289835	comparator
Rasa2	0.0014000085852091	24	0.902566413914	comparator
Rdx	0.0023634200744653	30	0.0858210933772	comparator
Rhot1	0.0008751881256664	20	0.921496367782	comparator
Rlf	0.0014923311346349	25	0.889787369426	comparator
Sclt1	-0.0014091031848358	19	0.92319317037	comparator
Sipa1l3	-0.0011881620998289	28	0.898536507768	comparator
Stx1b	0.0030231160928079	41	0.143035155629	comparator
Tfrc	0.0050790414102965	27	0.0997136645633	comparator
Uqcrc2	0.0053777836177244	28	0.0879951216926	comparator
Wnk1	-0.007581804244313	27	0.136300970359	comparator
