pathway	human	human_id	mouse_id	mouse	panel	included
R-HSA-112315	ABAT	ENSG00000183044	ENSMUSG00000057880	Abat	synapse	True
R-HSA-112315	ALDH2	ENSG00000111275	ENSMUSG00000029455	Aldh2	synapse	True
R-HSA-112315	ALDH5A1	ENSG00000112294	ENSMUSG00000035936	Aldh5a1	synapse	True
R-HSA-112315	AP2A1	ENSG00000196961	ENSMUSG00000060279	Ap2a1	synapse	True
R-HSA-112315	AP2A2	ENSG00000183020	ENSMUSG00000002957	Ap2a2	synapse	True
R-HSA-112315	AP2B1	ENSG00000006125	ENSMUSG00000035152	Ap2b1	synapse	True
R-HSA-112315	AP2M1	ENSG00000161203	ENSMUSG00000022841	Ap2m1	synapse	True
R-HSA-112315	ARL6IP5	ENSG00000144746	ENSMUSG00000035199	Arl6ip5	synapse	True
R-HSA-112315	CACNA2D1	ENSG00000153956	ENSMUSG00000040118	Cacna2d1	synapse	True
R-HSA-112315	CACNA2D2	ENSG00000007402	ENSMUSG00000010066	Cacna2d2	synapse	True
R-HSA-112315	CACNB1	ENSG00000067191	ENSMUSG00000020882	Cacnb1	synapse	True
R-HSA-112315	CACNB3	ENSG00000167535	ENSMUSG00000003352	Cacnb3	synapse	True
R-HSA-112315	CAMK2B	ENSG00000058404	ENSMUSG00000057897	Camk2b	synapse	True
R-HSA-112315	CAMK2D	NA	NA	NA	synapse	False
R-HSA-112315	CAMK2G	ENSG00000148660	ENSMUSG00000021820	Camk2g	synapse	True
R-HSA-112315	CASK	ENSG00000147044	ENSMUSG00000031012	Cask	synapse	True
R-HSA-112315	CHRNA3	ENSG00000080644	ENSMUSG00000032303	Chrna3	synapse	True
R-HSA-112315	DLG1	ENSG00000075711	ENSMUSG00000022770	Dlg1	synapse	True
R-HSA-112315	DLG3	ENSG00000082458	ENSMUSG00000000881	Dlg3	synapse	True
R-HSA-112315	DLG4	ENSG00000132535	ENSMUSG00000020886	Dlg4	synapse	True
R-HSA-112315	DNAJC5	ENSG00000101152	ENSMUSG00000000826	Dnajc5	synapse	True
R-HSA-112315	EPB41L1	ENSG00000088367	ENSMUSG00000027624	Epb41l1	synapse	True
R-HSA-112315	GABBR1	ENSG00000204681	ENSMUSG00000024462	Gabbr1	synapse	True
R-HSA-112315	GABBR2	ENSG00000136928	ENSMUSG00000039809	Gabbr2	synapse	True
R-HSA-112315	GABRA3	ENSG00000011677	ENSMUSG00000031343	Gabra3	synapse	True
R-HSA-112315	GABRB3	ENSG00000166206	ENSMUSG00000033676	Gabrb3	synapse	True
R-HSA-112315	GIT1	ENSG00000108262	ENSMUSG00000011877	Git1	synapse	True
R-HSA-112315	GLS	ENSG00000115419	ENSMUSG00000026103	Gls	synapse	True
R-HSA-112315	GLUL	ENSG00000135821	ENSMUSG00000026473	Glul	synapse	True
R-HSA-112315	GNAI1	ENSG00000127955	ENSMUSG00000057614	Gnai1	synapse	True
R-HSA-112315	GNAI2	ENSG00000114353	ENSMUSG00000032562	Gnai2	synapse	True
R-HSA-112315	GNAI3	ENSG00000065135	ENSMUSG00000000001	Gnai3	synapse	True
R-HSA-112315	GNB1	ENSG00000078369	ENSMUSG00000029064	Gnb1	synapse	True
R-HSA-112315	GNB2	ENSG00000172354	ENSMUSG00000029713	Gnb2	synapse	True
R-HSA-112315	GNG2	ENSG00000186469	ENSMUSG00000043004	Gng2	synapse	True
R-HSA-112315	GRIA2	ENSG00000120251	ENSMUSG00000033981	Gria2	synapse	True
R-HSA-112315	GRIA4	ENSG00000152578	ENSMUSG00000025892	Gria4	synapse	True
R-HSA-112315	GRIP1	ENSG00000155974	ENSMUSG00000034813	Grip1	synapse	True
R-HSA-112315	HRAS	ENSG00000174775	ENSMUSG00000025499	Hras	synapse	True
R-HSA-112315	HSPA8	ENSG00000109971	ENSMUSG00000015656	Hspa8	synapse	True
R-HSA-112315	KPNA2	NA	NA	NA	synapse	False
R-HSA-112315	KRAS	ENSG00000133703	ENSMUSG00000030265	Kras	synapse	True
R-HSA-112315	LIN7A	ENSG00000111052	ENSMUSG00000019906	Lin7a	synapse	True
R-HSA-112315	LIN7C	ENSG00000148943	ENSMUSG00000027162	Lin7c	synapse	True
R-HSA-112315	MAPK1	ENSG00000100030	ENSMUSG00000063358	Mapk1	synapse	True
R-HSA-112315	MAPK3	ENSG00000102882	ENSMUSG00000063065	Mapk3	synapse	True
R-HSA-112315	MAPT	ENSG00000186868	ENSMUSG00000018411	Mapt	synapse	True
R-HSA-112315	MYO6	ENSG00000196586	ENSMUSG00000033577	Myo6	synapse	True
R-HSA-112315	NAAA	ENSG00000138744	ENSMUSG00000029413	Naaa	synapse	True
R-HSA-112315	NBEA	ENSG00000172915	ENSMUSG00000027799	Nbea	synapse	True
R-HSA-112315	NCALD	ENSG00000104490	ENSMUSG00000051359	Ncald	synapse	True
R-HSA-112315	NEFL	ENSG00000277586	ENSMUSG00000022055	Nefl	synapse	True
R-HSA-112315	NPTN	ENSG00000156642	ENSMUSG00000032336	Nptn	synapse	True
R-HSA-112315	NSF	ENSG00000073969	ENSMUSG00000034187	Nsf	synapse	True
R-HSA-112315	PICK1	ENSG00000100151	ENSMUSG00000068206	Pick1	synapse	True
R-HSA-112315	PLCB1	ENSG00000182621	ENSMUSG00000051177	Plcb1	synapse	True
R-HSA-112315	PPM1E	ENSG00000175175	ENSMUSG00000046442	Ppm1e	synapse	True
R-HSA-112315	PRKACA	ENSG00000072062	ENSMUSG00000005469	Prkaca	synapse	True
R-HSA-112315	PRKACB	ENSG00000142875	ENSMUSG00000005034	Prkacb	synapse	True
R-HSA-112315	PRKAG1	ENSG00000181929	ENSMUSG00000067713	Prkag1	synapse	True
R-HSA-112315	PRKAR1A	ENSG00000108946	ENSMUSG00000020612	Prkar1a	synapse	True
R-HSA-112315	PRKAR2A	ENSG00000114302	ENSMUSG00000032601	Prkar2a	synapse	True
R-HSA-112315	PRKAR2B	ENSG00000005249	ENSMUSG00000002997	Prkar2b	synapse	True
R-HSA-112315	PRKCA	ENSG00000154229	ENSMUSG00000050965	Prkca	synapse	True
R-HSA-112315	PRKCB	ENSG00000166501	ENSMUSG00000052889	Prkcb	synapse	True
R-HSA-112315	PRKCG	ENSG00000126583	ENSMUSG00000078816	Prkcg	synapse	True
R-HSA-112315	RAB3A	ENSG00000105649	ENSMUSG00000031840	Rab3a	synapse	True
R-HSA-112315	RAC1	ENSG00000136238	ENSMUSG00000001847	Rac1	synapse	True
R-HSA-112315	SNAP25	ENSG00000132639	ENSMUSG00000027273	Snap25	synapse	True
R-HSA-112315	SRC	ENSG00000197122	ENSMUSG00000027646	Src	synapse	True
R-HSA-112315	STX1A	ENSG00000106089	ENSMUSG00000007207	Stx1a	synapse	True
R-HSA-112315	STXBP1	ENSG00000136854	ENSMUSG00000026797	Stxbp1	synapse	True
R-HSA-112315	SYN1	ENSG00000008056	ENSMUSG00000037217	Syn1	synapse	True
R-HSA-112315	SYT1	ENSG00000067715	ENSMUSG00000035864	Syt1	synapse	True
R-HSA-112315	TSPAN7	ENSG00000156298	ENSMUSG00000058254	Tspan7	synapse	True
R-HSA-112315	TUBA1A	ENSG00000167552	ENSMUSG00000072235	Tuba1a	synapse	True
R-HSA-112315	TUBA4A	ENSG00000127824	ENSMUSG00000026202	Tuba4a	synapse	True
R-HSA-112315	TUBAL3	ENSG00000178462	ENSMUSG00000021216	Tubal3	synapse	True
R-HSA-112315	TUBB1	ENSG00000101162	ENSMUSG00000016255	Tubb1	synapse	True
R-HSA-112315	TUBB2A	ENSG00000137267	ENSMUSG00000058672	Tubb2a	synapse	True
R-HSA-112315	TUBB2B	ENSG00000137285	ENSMUSG00000045136	Tubb2b	synapse	True
R-HSA-112315	TUBB3	ENSG00000258947	ENSMUSG00000062380	Tubb3	synapse	True
R-HSA-112315	TUBB4A	ENSG00000104833	ENSMUSG00000062591	Tubb4a	synapse	True
R-HSA-112315	TUBB4B	ENSG00000188229	ENSMUSG00000036752	Tubb4b	synapse	True
R-HSA-112315	TUBB6	ENSG00000176014	ENSMUSG00000001473	Tubb6	synapse	True
R-HSA-112315	UNC13B	ENSG00000198722	ENSMUSG00000028456	Unc13b	synapse	True
R-HSA-112315	VAMP2	ENSG00000220205	ENSMUSG00000020894	Vamp2	synapse	True
R-HSA-9907900	ADRM1	NA	NA	NA	proteasome	False
R-HSA-9907900	PSMA1	ENSG00000129084	ENSMUSG00000030751	Psma1	proteasome	True
R-HSA-9907900	PSMA2	ENSG00000106588	ENSMUSG00000015671	Psma2	proteasome	True
R-HSA-9907900	PSMA3	ENSG00000100567	ENSMUSG00000060073	Psma3	proteasome	True
R-HSA-9907900	PSMA4	ENSG00000041357	ENSMUSG00000032301	Psma4	proteasome	True
R-HSA-9907900	PSMA5	ENSG00000143106	ENSMUSG00000068749	Psma5	proteasome	True
R-HSA-9907900	PSMA6	ENSG00000100902	ENSMUSG00000021024	Psma6	proteasome	True
R-HSA-9907900	PSMA7	ENSG00000101182	ENSMUSG00000027566	Psma7	proteasome	True
R-HSA-9907900	PSMB1	ENSG00000008018	ENSMUSG00000014769	Psmb1	proteasome	True
R-HSA-9907900	PSMB2	ENSG00000126067	ENSMUSG00000028837	Psmb2	proteasome	True
R-HSA-9907900	PSMB3	ENSG00000277791	ENSMUSG00000069744	Psmb3	proteasome	True
R-HSA-9907900	PSMB4	ENSG00000159377	ENSMUSG00000005779	Psmb4	proteasome	True
R-HSA-9907900	PSMB5	ENSG00000100804	ENSMUSG00000022193	Psmb5	proteasome	True
R-HSA-9907900	PSMB6	ENSG00000142507	ENSMUSG00000018286	Psmb6	proteasome	True
R-HSA-9907900	PSMB7	ENSG00000136930	ENSMUSG00000026750	Psmb7	proteasome	True
R-HSA-9907900	PSMC1	ENSG00000100764	ENSMUSG00000021178	Psmc1	proteasome	True
R-HSA-9907900	PSMC2	ENSG00000161057	ENSMUSG00000028932	Psmc2	proteasome	True
R-HSA-9907900	PSMC3	ENSG00000165916	ENSMUSG00000002102	Psmc3	proteasome	True
R-HSA-9907900	PSMC4	ENSG00000013275	ENSMUSG00000030603	Psmc4	proteasome	True
R-HSA-9907900	PSMC5	ENSG00000087191	ENSMUSG00000020708	Psmc5	proteasome	True
R-HSA-9907900	PSMC6	ENSG00000100519	ENSMUSG00000021832	Psmc6	proteasome	True
R-HSA-9907900	PSMD1	ENSG00000173692	ENSMUSG00000026229	Psmd1	proteasome	True
R-HSA-9907900	PSMD10	ENSG00000101843	ENSMUSG00000031429	Psmd10	proteasome	True
R-HSA-9907900	PSMD11	ENSG00000108671	ENSMUSG00000017428	Psmd11	proteasome	True
R-HSA-9907900	PSMD12	ENSG00000197170	ENSMUSG00000020720	Psmd12	proteasome	True
R-HSA-9907900	PSMD13	ENSG00000185627	ENSMUSG00000025487	Psmd13	proteasome	True
R-HSA-9907900	PSMD14	ENSG00000115233	ENSMUSG00000026914	Psmd14	proteasome	True
R-HSA-9907900	PSMD2	ENSG00000175166	ENSMUSG00000006998	Psmd2	proteasome	True
R-HSA-9907900	PSMD3	ENSG00000108344	ENSMUSG00000017221	Psmd3	proteasome	True
R-HSA-9907900	PSMD4	ENSG00000159352	ENSMUSG00000005625	Psmd4	proteasome	True
R-HSA-9907900	PSMD5	ENSG00000095261	ENSMUSG00000026869	Psmd5	proteasome	True
R-HSA-9907900	PSMD6	ENSG00000163636	ENSMUSG00000021737	Psmd6	proteasome	True
R-HSA-9907900	PSMD7	ENSG00000103035	ENSMUSG00000039067	Psmd7	proteasome	True
R-HSA-9907900	PSMD8	ENSG00000099341	ENSMUSG00000030591	Psmd8	proteasome	True
R-HSA-9907900	PSME1	ENSG00000092010	ENSMUSG00000022216	Psme1	proteasome	True
R-HSA-9907900	PSME2	NA	NA	NA	proteasome	False
R-HSA-9907900	PSME3	ENSG00000131467	ENSMUSG00000078652	Psme3	proteasome	True
R-HSA-9907900	PSME4	ENSG00000068878	ENSMUSG00000040850	Psme4	proteasome	True
R-HSA-9907900	PSMF1	ENSG00000125818	ENSMUSG00000032869	Psmf1	proteasome	True
